#CODE;ENGLISH;x
EVTDESCtourney.1;Мы готовы послать воронов уведомить рыцарей и лордов о турнире в поселении [Root.Capital.GetName]. Насколько большим он должен быть?;x
EVTOPTAtourney.1;Небольшой местный турнир;x
TOOLTIPtourney.1LOCAL;Рыцари и лорды, проживающие рядом с городом [Root.Capital.GetName] будут приглашены\n;x
EVTOPTBtourney.1;Крупный провинциальный турнир;x
TOOLTIPtourney.1REGIONAL;Все рыцари и Лорды земли [This.GetName] будут приглашены\n;x
EVTOPTCtourney.1;Большой королевский турнир;x
TOOLTIPtourney.1GRAND;Все рыцари и Лорды наших земель будут приглашены\n;x
EVTOPTDtourney.1;Я не хочу проводить турнир для всех;x
EVTDESCtourney.2A;[Root.GetTitledFirstNameWithDynasty], я приглашаю вас принять участие в турнире, который пройдет в столице [From.Capital.GetName], где рыцари испытают свою храбрость.\n\nС уважением,\n[From.GetFirstName] [From.GetOnlyDynastyName], [From.GetTitle] земли [From.PrimaryTitle.GetName];x
EVTDESCtourney.2B;[Root.GetTitledFirstNameWithDynasty], я приглашаю вас принять участие в турнире, который пройдет в столице [From.Capital.GetName], где рыцари и лорды земли [tourney_kingdom.GetName] испытают свою храбрость.\n\nС уважением,\n[From.GetFirstName] [From.GetOnlyDynastyName], [From.GetTitle] земли [From.PrimaryTitle.GetName];x
EVTDESCtourney.2C;[Root.GetTitledFirstNameWithDynasty], я приглашаю вас принять участие в Великом турнире, который пройдет в столице [From.Capital.GetName], где лучшие рыцари и лорды всего королевства будут выяснять, кто же из них самый доблестный и умелый рыцарь в стране.\n\nС уважением,\n[From.GetFirstName] [From.GetOnlyDynastyName], [From.GetTitle] земли [From.PrimaryTitle.GetName];x
EVTOPTC70000;Это слишком низко для моего статуса;x
TOURNAMENTTITLE2;Турнир в столице [From.Capital.GetName];x
TOURNAMENTTITLE3;Турнир в столице [Root.Capital.GetName];x
hold_a_epic_tournament_LP;Провести Великий турнир в столице [Root.Capital.GetName];x
hold_a_epic_tournament_LP_desc;Давайте проведём грандиозный турнир, сравнится с величием которого смогут лишь сказания и легенды. Рыцари и лорды всего королевства соберутся в столице [Root.Capital.GetName];x
hold_a_epic_tournament_high_lord;Проведение малого турнира;x
hold_a_epic_tournament_high_lord_desc;Организуем турнир для рыцарей и лордов с нашей округи в столице [Root.Capital.GetName];x
tournament_invite_1;Все рыцари и лорды округи будут приглашены;x
hold_a_epic_tournament_lord;Проведение большого турнира;x
hold_a_epic_tournament_lord_desc;Организуем турнир для рыцарей и лордов области [Root.Capital.GetName];x
tournament_invite_2;Пригласим всех рыцарей и лордов наших земель;x
grand_tourny_1st;Победа в Великом турнире;x
grand_tourny_2nd;Второе место в Великом турнире;x
grand_tourny_3rd;Третье место в Великом турнире;x
normal_tourny_1st;Победа в большом турнире;x
normal_tourny_2nd;Второе место в большом турнире;x
normal_tourny_3rd;Третье место в большом турнире;x
small_tourny_1st;Победа в малом турнире;x
small_tourny_2nd;Второе место в малом турнире;x
small_tourny_3rd;Третье место в малом турнире;x
EVTDESC70052;[FromFrom.GetTitledFirstNameWithDynasty] был[FromFrom.GetEndA] объявлен[FromFrom.GetEndA] победителем турнира, который провел[From.GetEndA] [From.GetTitle] [From.GetFirstNameWithDynasty].;x
EVTDESC70054;Ранее неизвестный странствующий рыцарь стал победителем моего турнира, может стоит взять его на службу?;x
EVTDESC70055;Ранее неизвестный странствующий рыцарь занял второе место в моём турнире, может стоит взять его на службу?;x
EVTDESC70056;Ранее неизвестный странствующий рыцарь занял третье место в моём турнире, может стоит взять его на службу?;x
EVTOPTA70054;Странствующим рыцарям тут не место.;x
EVTOPTB70054;Поприветствуем его при дворе;x
opinion_queen_love_beauty;Королева любви и красоты;x
opinion_queen_love_beauty_chosen;Выбранная королева любви и красоты;x
EVTTOOLTIP70057;Это приведёт её в восторг;x
EVTDESC70053;Как победитель турнира в столице [From.Capital.GetName], имею честь выбрать королеву любви и красоты.;x
