greensight;Зеленовидец;x;;;
greensight_desc;Этому персонажу снится будущее.;x;;;
crow;Ворон;x;;;
crow_desc;Ворон всегда сопровождает этого персонажа.;x;;;
wolf;Волк;x;;;
wolf_desc;Волк всегда сопровождает этого персонажа.;x;;;
whale;Кит;x;;;
whale_desc;Кит плавает у берега, недалеко от этого персонажа.;x;;;
sea_lion;Морской лев;x;;;
sea_lion_desc;Морской лев всегда сопровождает этого персонажа.;x;;;
eagle;Орел;x;;;
eagle_desc;Орел всегда сопровождает этого персонажа.;x;;;
shadowcat;Сумеречный кот;x;;;
shadowcat_desc;Сумеречный кот всегда сопровождает этого персонажа.;x;;;
boar;Дикий кабан;x;;;
boar_desc;Дикий кабан всегда сопровождает этого персонажа.;x;;;
snowbear;Белый медведь;x;;;
snowbear_desc;Белый медведь всегда сопровождает этого персонажа.;x;;;
direwolf;Лютоволк;x;;;
direwolf_desc;Лютоволк всегда сопровождает этого персонажа.;x;;;
dog;Пес;x;;;
dog_desc;Пес всегда сопровождает этого персонажа.;x;;;
brownbear;Бурый медведь;x;;;
brownbear_desc;Бурый медведь всегда сопровождает этого персонажа.;x;;;
EVTDESCskinchanger.1;Ночью меня терзают странные сны. Я не знаю, что делать... Они кажутся мне такими реальными!;x;;;
EVTOPTAskinchanger.1;Я должен спросить кого-нибудь.;x;;;
EVTDESCskinchanger.2;Ваш[FROM.GetEndA] [From.GetRootRelation], [FROM.GetTitledFirstName], говорит вам, что [FROM.GetSheHe] видит странные сны ночью.;x;;;
EVTOPTAskinchanger.2;Сны это сны. Они нереальны.;x;;;
EVTOPTBskinchanger.2;Расскажи мне, что тебе снилось.;x;;;
EVTOPTCskinchanger.2;Это дар Старых Богов!;x;;;
EVTDESCskinchanger.3;М[FROM.GetOyaOy] [From.GetRootRelation] говорит, что это просто какой бред.;x;;;
EVTOPTAskinchanger.3;Я чувствую себя разочарованн[GetOyYm]...;x;;;
EVTDESCskinchanger.4;М[FROM.GetOyaOy] [From.GetRootRelation] сидел[FROM.GetEndA] со мной и слушал[FROM.GetEndA] пересказ моих снов. Может быть, это еще не все?;x;;;
EVTOPTAskinchanger.4;Это заставляет меня чувствовать себя счастлив[GetOyYm].;x;;;
EVTDESCskinchanger.5;М[FROM.GetOyaOy] [From.GetRootRelation] рассказал[FROM.GetEndA] мне о Старых Богах... и о детях леса, которые могли видеть в снах будущее. Теперь я отношусь к снам серьезнее.;x;;;
EVTDESCskinchanger.6;Вчера, на опушке леса я заметил[GetEndA] как волк следит за мной. Это был волк-одиночка. Бедняжка, наверное, проголодался. Я это почти чувствую...;x;;;
EVTOPTAskinchanger.6;Возможно, я долж[GetNaEn] вернуться завтра и посмотреть придет ли он снова.;x;;;
EVTDESCskinchanger.7;Вчера, на опушке леса, я заметил[GetEndA] ворона, следящего за мной. Бедняжка, наверное, проголодался. Я почти чувствую это...;x;;;
