#CODE;ENGLISH;x
EVTDESCfar_east.1;Теневые люди постоянно нападают на ваши земли, вечно игнорируя границу и вторгаясь на вашу территорию своими налетами. Их последний набег был более смелым, чем обычно, они глубже ушли в ваши земли и украли у крестьян урожай и припасы, захватили многих женщин и даже убили нескольких стражников. Им нужно преподать урок.;x
EVTOPTAfar_east.1;Я не могу защитить каждого крестьянина, мы должны позволить им ускользнуть в этот раз;x
EVTOPTBfar_east.1;Лучшее нападение - это  хорошая защита, мы должны укрепить наши уязвимые места;x
TOOLTIPfar_east.2A;Налетчики возвращаются и натыкаются на вашу оборону.;x
TOOLTIPfar_east.2B;Налетчики вернулись и прорвали вашу оборону.;x
TOOLTIPfar_east.2C;Налетчики не возвращаются.;x
EVTOPTCfar_east.1;Я лично возглавлю атаку против них;x
TOOLTIPfar_east.3;Вы намерены атаковать Теневых людей;x
EVTOPTDfar_east.1;Мой [Root.GetMyMarshalName] научит их уважению;x
TOOLTIPfar_east.5;Ваш [Root.GetMyMarshalName], [Root.job_marshal.GetTitledFirstName], намеревается атаковать Теневых людей;x
EVTDESCAfar_east.2;Прошло некоторое время с тех пор, как Теневые люди посмели снова напасть на ваши земли. На этот раз их встретили превосходные оборонительные сооружения, которые вы построили после последнего нападения, и им удалось остановить нападавших, которые так и не смогли их прорвать, и многие рейдеры умерли прежде, чем их главарь, наконец, призвал их к отступлению.;x
EVTDESCBfar_east.2;Прошло некоторое время с тех пор, как Теневые люди посмели снова напасть на ваши земли. На этот раз их встретили превосходные оборонительные сооружения, которые вы построили после последнего нападения, но им удается найти слабое место! Снова они крадут и убивают всех на своем пути через ваши земли ...;x
EVTOPTCfar_east.2;Прошло некоторое время, с тех пор как Теневые люди ушли вглубь ваших земель, похоже, они довольны своей добычей от последнего нападения. Это означает, что ваши крестьяне некоторое время в безопасности, но это также и значит, что все золото, которое вы потратили на укрепление своей обороны, было потрачено впустую...;x
EVTOPTAfar_east.2;Возьмите это, мерзкие разбойники!;x
EVTOPTBfar_east.2;Какая потеря...;x
EVTOPTCfar_east.2;Надеюсь, они никогда не вернутся;x
EVTDESCfar_east.3;Вы и ваши люди успешно отследили и вычислили лагерь, что обустроили налетчики из Края Теней. Вы можете видеть, как несколько крестьянок удерживаются в плену, как и скотина, похищенная с ферм. Настало время нанести удар ...;x
EVTOPTAfar_east.3;В атаку!!!;x
EVTOPTBfar_east.3;Мы должны проникнуть в их лагерь;x
TOOLTIPfar_east.4A;Атака успешна.;x
TOOLTIPfar_east.4B;Атака отбита.;x
EVTDESCAfar_east.4;Вы и ваши люди приближаетесь к лагерю, и все молчат до тех пор, пока вы не приказываете атаковать, а затем слышны только крики Теневых людей, когда их убивают. Крики продлжали нестись в ночи, когда вы и ваши люди отправились домой со всем, что было украдено. Это была хорошая ночь.;x
EVTDESCBfar_east.4;Вы и ваши люди приближаетесь к лагерю, и все молчат до тех пор, пока вы не приказываете атаковать, а затем стали слышны только крики ваших войск, когда их стали убивать одного за другим. Видя, что все потеряно, вы приказываете отступить. Вы много потеряли этой ночью. Но в следующий раз вы будете готовы.;x
EVTOPTAfar_east.4;Это скажет им, чтобы они не шутили с нами!;x
EVTOPTBfar_east.4;Это ужасно!;x
EVTDESCAfar_east.5;Ваш [Root.GetMyMarshalName], [Root.job_marshal.GetTitledFirstName], верну[Root.job_marshal.GetLasLsya] из похода на Теневых людей, [Root.job_marshal.GetSheHe] сообщает, что их атака была успешна и они вернули все, что было украдено у вас. В ближайшее время Теневые вряд ли попытаются совершить еще одну атаку.;x
EVTDESCBfar_east.5;Ваш [Root.GetMyMarshalName], [Root.job_marshal.GetTitledFirstName], верну[Root.job_marshal.GetLasLsya] из похода на Теневых людей и [Root.job_marshal.GetSheHe] рапортует, что атака не достигла цели. Многие из вашего войска были убиты, и ни один из похищенных товаров не был возвращен.;x
EVTOPTAfar_east.5;Хорошая работа, [Root.job_marshal.GetTitledFirstName]! Это научит дикарей!;x
EVTOPTBfar_east.5;Ваша бездарность сильно обошлась нам!;x
EVTTITLEfar_east.6;Объединение Асшая;x
EVTDESCfar_east.6;Однажды вечером вы сидите в своих палатах, размышляя о том, как вести переговоры о сложной сделке, когда вы вдруг слышите стук в вашу дверь. Вы вздыхаете и встаете, чтобы открыть ее, только чтобы увидеть слугу с запиской. Вы берете записку и возвращаетесь в свои палаты, открываете ее и читаете, что снова ваши соседи, Теневые люди, напали на ваши земли, на этот раз [unite_shadowlander_target.Capital.GetName] подверглось нападению.\nЭти дикари просто не знают своего места, вы [Root.GetTitle] земли [Root.PrimaryTitle.GetName] и эти дикие племена ничто по сравнению с вами. Но они этого не понимают... \nМожет быть, вы должны заставить их? Объединить все земли Теней под своим правлением в качестве их вождя и царствовать над ними, как господин Асшая? Однако они никогда не примут это мирно, но, может, стоит объеденить регион?;x
EVTOPTAfar_east.6;Теневые люди будут подчинены под моим правлением!;x
EVTOPTBfar_east.6;Они меня не касаются;x
TOOLTIPunite_shadowlands_next;[This.GetTitledFirstName] решает, что [This.GetHerHis] следующим шагом будет объединение Асшая.;x
EVTDESCfar_east.7;Вы завершили последнюю войну против Теневых людей и одержали победу. Малые племена не могут противостоять вашей силе!;x
EVTOPTAfar_east.7;Следующий дикарь будет завоеван;x
EVTOPTBfar_east.7;Этого достаточно, нет необходимости в дальнейшем кровопролитии;x
EVTOPTCfar_east.7;Весь Асшай мой!;x
TOOLTIPunite_shadowlands_fail;Все завоеванные земли будут возвращены племенам Теневых людей, [This.GetTitledFirstName] выполнит свою задачу по объединению Асшая;x
EVTTITLEfar_east.9;Край Теней;x
EVTDESCfar_east.9;Асшай, 'Что у Тени', священное место тихого смятения, где тишина ночей прерывается эхом криков демонов за горами. Здесь нет запретных заклинаний, нет запретных религиозных культов.\nИ я здесь правитель!\n;x
EVTOPTAfar_east.9;Я провозглашаю себя Теневым Королем!;x
EVTOPTBfar_east.9;Нет, Асшай никогда не потерпит одной правящей семьи;x
crown_of_shadows;Корона Теней;x
crown_of_shadows_desc;Корона Теней была создана как знак власти монархии Асшая. Чтобы показать свое господство над тенями в их родных земель и то, как они распространятся по всему миру.;x
EVTDESCfar_east.10;Человек, сошедший с дороги, говоря шепотом, обращается к вам, он кажется далеким иностранцем, и не закрывает лицо, как принято в Асшае.\n'Мой господин, потомок Желтых Императоров, Старого и истинного Божественного Императора И-Ти, приносит вам предложение. Поддержите его в войне за И-Ти, и вы будете очень хорошо вознаграждены';x
EVTOPTAfar_east.10;И-Ти узнает силу Асшая;x
TOOLTIPfar_east.10;После победы в войне вы будете вознаграждены 250WВ¤ и [From.GetTitledFirstName] заключит с вами альянс на 10лет\n;x
EVTOPTBfar_east.10;Прочь, нищий, твой мнимый 'Король-колдун' меня не пугает;x
