#CODE;ENGLISH;x
EVTOPTGETHOUSEWORDS;[Root.GetHouseWords];x
HouseWords_Allyrion;Врагу не пройти;x
HouseWords_Ambrose;Без отдыха;x
HouseWords_Arryn;Высокий как честь;x
HouseWords_Ashford;Наше солнце светит ярко;x
HouseWords_Baratheon;Нам ярость;x
HouseWords_Beesbury;Берегись наших жал;x
HouseWords_Bolton;Наши ножи остры;x
HouseWords_Buckwell;Гордость и цель;x
HouseWords_Bulwer;Лучше смерть, чем бесчестье;x
HouseWords_Caron;Нет песни слаще;x
HouseWords_Cerwyn;Заточен и готов;x
HouseWords_Codd;Вопреки людскому презрению;x
HouseWords_Crakehall;Никто столь не свиреп;x
HouseWords_Egen;Днём или ночью;x
HouseWords_Farman;Оседлавшие ветер;x
HouseWords_Flint;Вечно бдительны;x
HouseWords_Follard;Никто так не мудр;x
HouseWords_Footly;Ступай осторожно;x
HouseWords_Forrester;Железо изо льда;x
HouseWords_Fossoway;Вкус славы;x
HouseWords_Fowler;Воспарим!;x
HouseWords_Graceford;Поступаем ее волею;x
HouseWords_Grandison;Не буди меня;x
HouseWords_Greyjoy;Мы не сеем;x
HouseWords_Hastwyck;Никто так не предан долгу;x
HouseWords_Hightower;Мы освещаем путь;x
HouseWords_Hornwood;Правый в гневе;x
HouseWords_Jordayne;Да будет написано;x
HouseWords_Karstark;Солнце зимы;x
HouseWords_Lannister;Услышь мой рев!;x
HouseWords_Lonmouth;Выбор твой;x
HouseWords_Marbrand;Горю ярко;x
HouseWords_Martell;Непреклонные, несгибаемые, несдающиеся;x
HouseWords_Mormont;Здесь стоим;x
HouseWords_Mallister;Над прочими;x
HouseWords_Merryweather;Узрите нашу щедрость;x
HouseWords_Mooton;Мудрость и сила;x
HouseWords_Oakheart;Наши корни глубоки;x
HouseWords_Peckledon;Непоколебимые;x
HouseWords_Penrose;Запишем наши деяния;x
HouseWords_Piper;Храбры и прекрасны;x
HouseWords_Plumm;Попробуй меня;x
HouseWords_Redfort;Крепкий, как камень;x
HouseWords_Royce;Мы помним;x
HouseWords_Sarsfield;Верен цели;x
HouseWords_Sarwyck;Семья — твоя надежда, храни её всегда;x
HouseWords_Serrett;Мне нет равных;x
HouseWords_Smallwood;С этих начал;x
HouseWords_Stark;Зима близко;x
HouseWords_Stokeworth;Гордимся преданностью;x
HouseWords_Swygert;Истина побеждает;x
HouseWords_Swyft;Проснитесь! Проснитесь!;x
HouseWords_Tallhart;Горды и свободны;x
HouseWords_Targaryen;Пламя и кровь;x
HouseWords_Tarly;Первые в битве;x
HouseWords_Tollett;В самый темный час;x
HouseWords_Toyne;Лети высоко, лети далеко;x
HouseWords_Trant;Так заканчивают наши враги;x
HouseWords_Tully;Семья, долг, честь;x
HouseWords_Tyrell;Вырастая — крепнем;x
HouseWords_Velaryon;Старый, верный, отважный;x
HouseWords_Waxley;Свет во тьме;x
HouseWords_Wendwater;Во все времена года;x
HouseWords_Wensington;Протрубите атаку;x
HouseWords_Westerling;Честь, а не почести;x
HouseWords_Westford;Смерть лучше бесчестья;x
HouseWords_Whitehill;Всегда выше;x
HouseWords_Wode;Не тронь меня;x
HouseWords_Wydman;Правый побеждает сильного;x
HouseWords_Yronwood;Мы храним путь;x
HouseWords_Custom;[c_house_words_1.GetName];x
set_house_words;Установить девиз Дома;x
set_house_words_desc;Установить девиз Дома [Root.GetOnlyDynastyName];x
HOUSE_WORDS_MESSAGE_LOG;Каким будет девиз Дома [Root.GetOnlyDynastyName]?;x
c_house_words_1;Девиз Дома;x
c_house_words_1_adj;Девиз Дома;x
