title_knight;Рацырь;x
title_knight_desc;Помазать в рыцари Королевства;x
EVTDESCknight.1;В знак признания вашей доблести и чести, септон предлагает помазать вас в рыцари.;x
EVTOPTAknight.1;Наконец, признаны мои способности, я буду прославленным рыцарем!;x
EVTOPTBknight.1;В пекло ваше 'сир'!;x
EVTOPTCknight.1;Пусть воин направит мой путь!;x
EVTDESCknight.2;Вы обращаете внимание на приехавшего рыцаря и оруженосца с ним. Вы думаете, попросить вашего опекуна сделать вас своим оруженосцем...;x
EVTDESCknight.3;Ваш подопечный предлагает свои услуги в качестве оруженосца...;x
EVTOPTAknight.3;Почему бы и нет, оруженосец - это не больно.;x
EVTOPTBknight.3;Не гуди, малыш!;x
EVTDESCknight.4;Я старею... Я слышу как другие издеваются надо мной за моей спиной. Я слишком стар, чтобы быть оруженосцем...;x
EVTOPTAknight.4;Плевать на них, плевать на их мнение!;x
EVTDESCknight.5;Лагерь был атакован вчера вечером, кажется, осажденные совсем отчаялись. Большинство людей были застигнуты врасплох, но не Вы... Вы были не только готовы к борьбе, но и некоторые мужи сплотились вокруг вас, и преуспели во время битвы. Один из рыцарей тут же посвятил вас в рыцари!;x
EVTDESCknight.6;Враги на флангах! Вы сплотили несколько людей вокруг вас и отличились во время сражения. Один из рыцарей посвятил вас в рыцари здесь же!;x
knight;Рыцарь;x
knight_desc;Рыцарь. Помазанный и благословенный септоном, закаленный в битвах и тренировках;x
squire;Оруженосец;x
squire_desc;На службе у рыцаря;x
squiering_refused;Отказано быть оруженосцем;x
squiering_refused_desc;Рыцарь не позволил этому персонажу стать его оруженосцем.;x
EVTDESCknight.7;Мой опекун отказался от моего предложения стать его оруженосцем. Я покраснел от злости и стыда. Я уже слышу, как люди подсмеиваются за моей спиной.;x
EVTDESCknight.8;Я тренируюсьь день и ночь. Быть оруженосцем не легко, но это плата за славу!;x
knight_son_bribe_septon;Купить рыцарство для персонажа [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];x
knight_son_bribe_septon_desc;Дать взятку септону для помазания персонажа [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;x
knight_son;Рыцарь [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];x
knight_son_desc;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] зарекомендовал себя прекрасным воином. Возможно, мы должны официально признать его мастерство.;x
knight_daughter;Рыцарь [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];x
knight_daughter_desc;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] показала себя прекрасным воином, равному любому рыцарю Королевской гвардии. Хотя это идет вразрез с традицией, возможно, мы должны официально признать её мастерство.;x
buy_knighthood;Купить Рыцарство;x
buy_knighthood_desc;Дать взятку септону за помазание персонажа [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal];x
EVTDESCknight.9;После краткого дознания септон готов помазать в рыцари вашего сына... за скромные пожертвования.;x
EVTDESCknight.10;Ваш отец договорился с септоном, чтобы он помазал вас в рыцари!;x
EVTDESCknight.11;Ваш [From.GetRootRelation] [From.GetFirstName] доказал всему своему окружению, что может быть прекрасным воином. Вы приказали [From.GetHerHim] встать на колени, и положили на [From.GetHerHis] плечо свой меч.\n\n'[From.GetFirstName] из Дома [From.GetOnlyDynastyName], во имя Воина, я призываю вас быть храбрым. Во имя Отца, я призываю вас быть справедливым. Во имя Матери, я призываю вас защищать юных и невинных. Во имя Девы, я призываю защищать всех женщин. Во имя Семерых, я призываю вас быть справедливым и честным.';x
EVTOPTAknight.11;Встаньте, сир [From.GetFirstName];x
EVTDESCknight.11B;Ваша [From.GetRootRelation] [From.GetFirstName] доказала всему своему окружению, что может быть прекрасным воином. Хоть это и против традиции, вы приказали ей встать на колени, и положили на её плечо свой меч.\n\n'[From.GetFirstName] из Дома [From.GetOnlyDynastyName], во имя Воина, я призываю вас быть храброй. Во имя Отца, я призываю вас быть справедливой. Во имя Матери, я призываю вас защищать юных и невинных. Во имя Девы, я призываю защищать всех женщин. Во имя Семерых, я призываю вас быть справедливой и честной.';x
EVTOPTAknight.11B;Встаньте, леди [From.GetFirstName];x
EVTDESCknight.11C;Ваш [From.GetRootRelation] [From.GetFirstName] доказал всему своему окружению, что может быть прекрасным воином. Вы приказали [From.GetHerHim] встать на колени, и положили на [From.GetHerHis] плечо свой меч.\n\n'[From.GetFirstName] из города [From.Liege.Capital.GetName], во имя Воина, я призываю вас быть храбрым. Во имя Отца, я призываю вас быть справедливым. Во имя Матери, я призываю вас защищать юных и невинных. Во имя Девы, я призываю защищать всех женщин. Во имя Семерых, я призываю вас быть справедливым и честным.';x
