#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
obj_find_lover_title;Влюбиться.;;;;;;;;;;;;;x
obj_find_lover_desc;[This.GetTitledFirstName] желает страсти и романтики.;;;;;;;;;;;;;x
obj_befriend_liege_title;Стать другом вашего сюзерена.;;;;;;;;;x;;;;x
obj_befriend_liege_desc;[This.GetTitledFirstName] хочет подружиться с сюзереном.;;;;;;;;;x;;;;x
obj_happy_marriage_title;Достичь семейного счастья.;;;;;;;;;;;;;x
obj_happy_marriage_desc;[This.GetTitledFirstName] желает сделать свой брак счастливым.;;;;;;;;;;;;;x
obj_five_children_title;Иметь много детей.;;;;;;;;;;;;;x
obj_five_children_desc;[This.GetTitledFirstName] желает иметь не меньше пяти детей.;;;;;;;;;;;;;x
obj_become_a_knight_title;Стать рыцарем.;;;;;;;;;;;;;x
obj_become_a_knight_desc;[This.GetTitledFirstName] желает стать рыцарем.;;;;;;;;;;;;;x
obj_improve_combat_ability_title;Улучшить навыки боя;;;;;;;;;;;;;x
obj_improve_combat_ability_desc;[This.GetTitledFirstName] хочет  лучше сражаться;;;;;;;;;;;;;x
obj_win_the_war_title;Выиграть войну.;;;;;;;;;;;;;x
obj_win_the_war_desc;[This.GetTitledFirstName] желает победить в войне.;;;;;;;;;;;;;x
obj_break_out_of_prison_title;Вырваться из темницы.;;;;;;;;;;;;;x
obj_break_out_of_prison_desc;[This.GetTitledFirstName] желает вырваться из темницы.;;;;;;;;;;;;;x
obj_become_king_title;Занять высочайший трон.;;;;;;;;;;;;;x
obj_become_king_desc;[This.GetTitledFirstName] желает повысить свой ранг, получив более высокий титул;;;;;;;;;;;;;x
obj_become_lord_paramount_title;Стать Верховным лордом.;;;;;;;;;;;;;x
obj_become_lord_paramount_desc;[This.GetTitledFirstName] желает стать верховным лордом.;;;;;;;;;;;;;x
obj_become_a_duke_title;Стать знаменосцем.;;;;;;;;;;;;;x
obj_become_a_duke_desc;[This.GetTitledFirstName] желает стать знаменосцем.;;;;;;;;;;;;;x
obj_increase_demesne_1_title;Увеличить размер владений.;;;;;;;;;;;;;x
obj_increase_demesne_1_desc;[This.GetTitledFirstName] не устраивает размер [This.GetHerHis] владений.;;;;;;;;;;;;;x
obj_increase_demesne_2_title;Увеличить размер владений.;;;;;;;;;;;;;x
obj_increase_demesne_2_desc;[This.GetTitledFirstName] не устраивает размер [This.GetHerHis] владений.;;;;;;;;;;;;;x
obj_increase_demesne_3_title;Увеличить размер владений.;;;;;;;;;;;;;x
obj_increase_demesne_3_desc;[This.GetTitledFirstName] не устраивает размер [This.GetHerHis] владений.;;;;;;;;;;;;;x
obj_increase_demesne_4_title;Увеличить размер владений.;;;;;;;;;;;;;x
obj_increase_demesne_4_desc;[This.GetTitledFirstName] не устраивает размер [This.GetHerHis] владений.;;;;;;;;;;;;;x
obj_increase_demesne_5_title;Увеличить размер владений.;;;;;;;;;;;;;x
obj_increase_demesne_5_desc;[This.GetTitledFirstName] не устраивает размер [This.GetHerHis] владений.;;;;;;;;;;;;;x
obj_become_a_famous_tourney_knight_title;Стать известным турнирным рыцарем.;;;;;;;;;;;;;x
obj_become_a_famous_tourney_knight_desc;[This.GetTitledFirstName] желает стать известным турнирным рыцарем.;;;;;;;;;;;;;x
won_the_war;Победа в войне!;;;;;;;;;;;;;x
won_the_war_desc;Этот персонаж недавно победил в войне.;;;;;;;;;;;;;x
obj_become_castellan_title;Стать десницей;;;;;;;;;;;;;x
obj_become_castellan_desc;[This.GetTitledFirstName] желает стать десницей короля.;;;;;;;;;;;;;x
obj_become_councillor_title;Стать советником;;;;;;;;;;;;;x
obj_become_councillor_desc;[This.GetTitledFirstName] желает стать советни[This.GetTseyKom].;;;;;;;;;;;;;x
obj_obtain_valyrian_sword_title;Получить валирийский меч;;;;;;;;;;;;;x
obj_obtain_valyrian_sword_desc;[This.GetTitledFirstName] хочет владеть древним валирийским мечом.;;;;;;;;;;;;;x
