#CODE;ENGLISH;x;;;;;;;;;;;;
#events;;x;;;;;;;;;;;;
EVTDESC65030;Я чувствую себя очень плохо, меня ничто не радует и не веселит. Я нахожусь в самой глубокой, самой черной яме горя и бесполезности, чувствуя, что я никогда не буду в состоянии сбежать из нее и задающийся вопросом, почему [This.Religion.GetRandomGodName] заставляет нас чувствовать себя так...;x;;;;;;;;;;;;
EVTDESC65032;Мой [This.Religion.GetRandomGodName], почему ты оставил меня? Я был[GetEndA] проклят[GetEndA] лихорадкой, адской головной болью, и теперь кашляю кровью. Я думаю, что [Root.Religion.GetRandomGodName], должно быть, решил наказать меня за мои грехи!;x;;;;;;;;;;;;
EVTDESC65033;[This.Religion.GetRandomGodName] излечивал людей подобных мне, если бы я просто был[GetEndA] более набожн[GetOyYm] и действительно раскаива[GetLasLsya] в своих грехах, то Он мог бы излечить и меня также.;x;;;;;;;;;;;;
EVTOPTA65033;Простите меня, [This.Religion.GetRandomGodName], поскольку я грешил[GetEndA]…;x;;;;;;;;;;;;
EVTOPTB65036;Я благодарю [This.Religion.GetRandomGodName] от всей души;x;;;;;;;;;;;;
EVTOPTC65049;[This.Religion.GetRandomGodName] вылечит меня!;x;;;;;;;;;;;;
EVTTOOLTIP65054;[This.Religion.GetRandomGodName] ответит на молитвы;x;;;;;;;;;;;;
EVTOPTB65053;[This.Religion.GetRandomGodName] наказывает меня справедливо за мои грехи;x;;;;;;;;;;;;
EVTDESC65054;[This.Religion.GetRandomGodName] ответил на мои молитвы! Я вылечен[GetEndA] от моей болезни и могу искупить свои грехи прежде, чем будет слишком поздно.;x;;;;;;;;;;;;
EVTDESC65055;Почему, я бол[GetSoftNaEn], [From.GetRootRelation], это [This.Religion.GetRandomGodName] наказывает меня? Я не сделал[GetEndA] ничего плохого, не так ли?;x;;;;;;;;;;;;
EVTOPTA65055;[This.Religion.GetRandomGodName] должен наказать меня!;x;;;;;;;;;;;;
EVTDESC65056;М[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] очень бол[From.GetSoftNaEn]. [From.GetSheHe] бредит и просит, чтобы [This.Religion.GetRandomGodName], наказавший [From.GetHerHis], простил грехи.;x;;;;;;;;;;;;
EVTOPTD65056;[This.Religion.GetRandomGodName] вылечит Вас!;x;;;;;;;;;;;;
EVTDESC73010;Я читаю книгу '[Root.Religion.GetScriptureName]', где утверждается, что смерть не является тем, чего истинный верующий должен бояться.;x;;;;;;;;;;;;
#events;;x;;;;;;;;;;;;
#modifiers, traits;;x;;;;;;;;;;;;
true_knight;Истинный Рыцарь;x;;;;;;;;;;;;
true_knight_desc;Настоящий рыцарь приносит клятву церкви быть храбрым и свободным от смертных грехов.;x;;;;;;;;;;;;
crusader_rhllor;Поборник Р'глора;x;;;;;;;;;;;;
crusader_rhllor_desc;Этот персонаж сражался за своего Бога, Р'глора.;x;;;;;;;;;;;;
#religion names;;x;;;;;;;;;;;;
westerosi_religion;Религии Вестероса;x;;;;;;;;;;;;
westerosi_religion_FEATURES;§Y*§! Эта религия традиционна против рабства;x;;;;;;;;;;;;
the_seven;Семибожие;x;;;;;;;;;;;;
the_seven_DESC;Традиционная религия андалов. Это монотеистическая религия, бог которой имеет семь воплощений – Отец, Мать, Воин, Дева, Кузнец, Старица, и Неведомый – но, зачастую их воспринимают как разных сущностей. Священники Семибожия называются Септонами и Септами, службы проходят в семисторонних храмах называемых септами.;x;;;;;;;;;;;;
the_seven_FEATURES;§Y*§! Можно получать и даровать рыцарство, и взять оруженосца (даже если у оруженосца иная религия)\n§Y*§! Можно проводить турниры\n§Y*§! Дети от любовниц считаются незаконными бастардами;x;;;;;;;;;;;;
GOD_FATHER;Отец;x;;;;;;;;;;;;
GOD_MOTHER;Мать;x;;;;;;;;;;;;
GOD_WARRIOR;Воин;x;;;;;;;;;;;;
GOD_MAIDEN;Дева;x;;;;;;;;;;;;
GOD_SMITH;Кузнец;x;;;;;;;;;;;;
GOD_CRONE;Старица;x;;;;;;;;;;;;
GOD_THE_STRANGER;Неведомый;x;;;;;;;;;;;;
GOD_SEVEN;Семеро;x;;;;;;;;;;;;
old_gods;Старые Боги;x;;;;;;;;;;;;
old_gods_DESC;Старые Боги - это безымянные духи природы которым поклоняются Первые люди, а до них Дети леса. Свои молитвы они совершают в Богорощах, в сердце которых растёт чародрево, в стволе которого вырезано лицо Бога.;x;;;;;;;;;;;;
GOD_THE_GODS;Боги;x;;;;;;;;;;;;
GOD_THE_OLD_GODS;Старые Боги;x;;;;;;;;;;;;
wildling_religion;Старые Боги Одичалых;x;;;;;;;;;;;;
wildling_religion_FEATURES;§Y*§! Можно приносить узников в жертву Богам;x;;;;;;;;;;;;
beyond_wall_old_gods;Старые Боги За Стеной;x;;;;;;;;;;;;
beyond_wall_old_gods_DESC;Старые Боги - это безымянные духи природы, которым поклоняются Первые люди, а до них Дети леса. За Стеной, у подножья чардрев, молятся Старым богам одичалые.;x;;;;;;;;;;;;
mountain_old_gods;Старые Боги Гор;x;;;;;;;;;;;;
mountain_old_gods_DESC;Старые Боги - это безымянные духи природы, которым поклоняются Первые люди, а до них Дети леса. В Лунных Горах еще остались кланы, которые произошли от Первых Людей, и которые до сих пор поклоняются Древним Богам.;x;;;;;;;;;;;;
mountain_old_gods_FEATURES;§Y*§! Можно использовать пленников как наложниц;x;;;;;;;;;;;;
thenn_rel;Тенн;x;;;;;;;;;;;;
thenn_rel_DESC;Тенны считают себя последними из Первых Людей, большинство из них говорит на Старом Языке и знают только несколько слов Общего Языка. Теннов возглавляет Магнар, который для его людей считается больше богом, чем человеком, в их долине Тенны живут по своим законам и имеют своих лордов, поэтому некоторые считают общество Теннов более сложным, чем у других свободных людей. Тенны - свирепые воины, из-за своей веры в Магнара как в своего бога, они абсолютно послушны и более дисциплинированы, чем прочий вольный народ. Они часто лучше оснащены, чем большинство одичалых, с бронзовыми шлемами, топорами из бронзы и колотого камня, короткими колющими копьями с листовидными головками, рубашками, сшитыми из бронзовых дисков и простыми неукрашенными щитами из черной вареной кожи с бронзовыми оправами и выступами.;x;;;;;;;;;;;;
GOD_THE_MAGNAR;Магнар;x;;;;;;;;;;;;
drowned_god_group;Религии Железнорожденных;x;;;;;;;;;;;;
drowned_god;Утонувший Бог;x;;;;;;;;;;;;
drowned_god_DESC;Железнорожденные поклоняются Утонувшему богу, который велит им грабить и убивать, а после смерти они отправятся в его покои, где им будут служить русалки. Обряд посвящения в эту веру представляет собой ритуальное утопление, что символизирует девиз этой религии: 'То, что мертво, умереть не может'.;x;;;;;;;;;;;;
drowned_god_FEATURES;§Y*§! Могут использовать пленников как наложниц (извсестные у железнорожденных как 'Морские жёны')\n§Y*§! Дети морских жен считаются законными, но исключаются из последовательности, если они не указаны иначе\n§Y*§! Независимые правители могут свободно вторгаться к соседям\n§Y*§! Могут приносить пленников в жертву Утонувшему Богу\n§Y*§! Верховный правитель избирается на Вече;x;;;;;;;;;;;;
GOD_THE_DROWNED_GOD;Утонувший Бог;x;;;;;;;;;;;;
storm_god;Штормовой Бог;x;;;;;;;;;;;;
storm_god_DESC;В мифах Жлезнорожденных, Штормовой Бог является антагонистом Утонувшего Бога. Он символизирует интриги, ярость и разброд в обществе жлезнорожденных. Его культ редок и таинственен.;x;;;;;;;;;;;;
GOD_STORM_GOD;Штормовой Бог;x;;;;;;;;;;;;
essos_religion;Религии Востока;x;;;;;;;;;;;;
essos_group;Религии Востока;x;;;;;;;;;;;;
valyrian_rel_group;Валирийскик Боги;x;;;;;;;;;;;;
valyrian_rel;Валирийская религия;x;;;;;;;;;;;;
valyrian_rel_DESC;Старая религия Древней Валирии. Но в день Рока она была уничтожена вместе со всеми валирийцами, лишь только дом Таргариенов до сих пор её исповедует.;x;;;;;;;;;;;;
valyrian_rel_FEATURES;§Y*§! Могут организовать браки между близкими родственниками\n§Y*§! Имеют §G+10§! отношений с другими религиями из-за своей религиодной терпимости\n§Y*§! Могут выбрать другую религиозную группу как свою Новую Веру и получить §G+10§! отношений с ее членами;x;;;;;;;;;;;;
GOD_BALERION;Балерион;x;;;;;;;;;;;;
GOD_MERAXES;Мараксeс;x;;;;;;;;;;;;
GOD_VHAGAR;Вхагар;x;;;;;;;;;;;;
