#CODE;ENGLISH;x
EVTDESCsothoryos.2;Земля [From.Kingdom.GetName] изобилует разнообразными болезнями, а одна особенно опасна - Красная Смерть - достигла провинции [From.GetName]!;x
EVTOPTAothoryos.2;Я искренне надеюсь, что не заражусь ею;x
red_death;Красная Смерть;x
red_death_desc;Красная Смерть поразила эту область, страшная болезнь, характерная для жарких и влажных земель Соториоса. Девять жертв из десяти умирают в криках, с кровью, вытекающей из каждого отверстия и кожей, рассыпающейся как мокрый пергамент.;x
has_red_death;Заражение Красной Смертью;x
has_red_death_desc;У этого человека Красная Смерть - страшная болезнь, характерная для жарких и влажных земель Соториоса. Девять жертв из десяти умирают в криках, с кровью, вытекающей из каждого отверстия и кожей, рассыпающейся как мокрый пергамент.;x
has_red_death_death;в криках, истекая кровью из-за Красной Смерти;x
EVTDESCsothoryos.3;Вспышка Красной Смерти сильно ударила по колонии [Root.GetName]. Девять из десяти человек умерли в криках, истекая кровью из каждого отверстия, и кожей, рассыпающейся, как мокрый пергамент. Как итог, колония была уничтожена.;x
EVTOPTAsothoryos.3;Кажется, колонизация здесь заканчивается только ужасом;x
EVTDESCsothoryos.4;Находясь в области [Root.Location.GetName], вы подхватили Красную Смерть! Это агонизирующее заболевание может вызвать сильное кровотечение и измельчение кожи.;x
EVTOPTAsothoryos.4;Это не будет приятным;x
EVTDESCsothoryos.5;К счастью, у вас не было смертельных симптомов, когда вы страдали от Красной Смерти. Вы пошли на поправку, испытав только легкое мучительное кровотечение.;x
EVTOPTAsothoryos.5;Да славится [Root.Religion.GetHighGodName];x
EVTDESCsothoryos.10A;Проплывая сырую и зеленую реку в области [Root.Location.GetName], ваша лодка была атакована крокодилом! Ему удалось опрокинуть её, подплыв снизу, после чего он пожрал большую часть экипажа, пока они барахтались в воде.;x
EVTDESCsothoryos.10B;Вы играли у соседней реки, у той сыровато-горячей, которой известен [Root.Location.GetName], когда вас атаковал крокодил! Скрываясь под водой, он заманил вас в засаду, пытаясь пожрать вас!;x
EVTDESCsothoryos.10C;Вы спускались на лодке по реке в области [Root.Location.GetName] на пике полуденной жары, когда начался большой шторм. Из-за сильного ветра и дождя лодка ударилась о берег и потонула. Экипаж бросился в воду и сразу же был атакован стаей плотоядных рыб! За несколько минут от многих остались только лишь кости.;x
EVTDESCsothoryos.10D;Вы и ваши друзья нашли ручей в близлежащих джунглях области [Root.Location.GetName]. Пробираясь через него, единственное, что вы обнаружили, это то, что он был полон стаями хищных рыб! В попытке бегства, от многих ваших спутников остаются лишь кости!;x
EVTDESCsothoryos.10E;Вы решили изучить джунгли обламти [Root.Location.GetName], надеясь найти интересные клады или артефакты. Однако, после нескольких часов поисков, вы случайно натыкаетесь на ядовитую змею! Ярко-зеленое создание кусает вас, оставляя вас с быстро набухающей раной.;x
EVTDESCsothoryos.10F;Находясь в джунглях земли [Root.Location.GetName], вы нашли пещеру, казавшуюся неисследованной. Вы вошли в пещеру с вашими спутниками, только чтобы быть атакованными стаей ос! Вы сумели сбежать, но после вашего возвращения у вас началась болезненная сыпь и стали появляться странные куски под кожей. Сделав надрез, вы обнаруживаете, что осы отложили яйца под вашей кожей!;x
EVTDESCsothoryos.10G;В глубоких, влажных джунглях земли [Root.Location.GetName] вы искали пастбища и сокровища. На особенно заросшей и узкой тропе вы и ваша группа попадаете в засаду свирепого василиска! Он вдвое больше льва, и он быстро расправляется с многими вашими спутниками, перед тем как он переключится на вас...;x
EVTDESCsothoryos.10H;Вы исследовали юг области [Root.Location.GetName], проходя через глубокие, плотные джунгли Соториоса, когда нашли то, что казалось неисследованной, нетронутой долиной. Скоро вы узнаете почему она не тронута. Вы и ваши спутники атакованы группой свирепых обезьян! Некоторые из них настолько велики, что затмевают крупнейших великанов, и они собираются разорвать многих ваших спутников в клочья...;x
OPTAsothoryos.10;Арргх!!;x
EVTDESCsothoryos.11A;Ваш[From.GetEndA] [From.GetRootRelation] [From.GetTitledFirstName] проплывал[From.GetEndA] сырую и зеленую реку в области [From.Location.GetName], когда [From.GetHerHis] лодку атаковал огромный крокодил! Ему удалось опрокинуть лодку, подплыв снизу, после чего пожрал большую часть [From.GetHerHis] команды, когда они барахтались в воде.;x
EVTDESCsothoryos.11B;Ваш[From.GetEndA] [From.GetRootRelation] [From.GetTitledFirstName] играл[From.GetEndA] в близлежащей реке, одной из тех в области [From.Location.GetName], которые славятся влажностью и прогретостью, когда [From.GetHerHis] атаковал крокодил! Спрятавшись под водой, он устроил засаду, пытаясь поглотить [From.GetHerHis]!;x
EVTDESCsothoryos.11C;Ваш[From.GetEndA] [From.GetRootRelation] [From.GetTitledFirstName] спуска[From.GetLasLsya] на лодке по реке в области [From.Location.GetName] на пике полуденной жары, когда начался большой шторм. Из-за сильного ветра и дождя [From.GetHerHis] лодка ударилась о берег и потонула. Экипаж бросился в воду, и сразу же был атакован стаей плотоядных рыб! За несколько минут от многих остались только лишь кости.;x
EVTDESCsothoryos.11D;Ваш[From.GetEndA] [From.GetRootRelation] [From.GetTitledFirstName] и [From.GetHerHis] друзья нашли ручей в близлежащих джунглях земли [From.Location.GetName]. Пробираясь через него, единственное, что они обнаружили, это то, что он был полон стаями хищных рыб! Многие [From.GetHerHis] спутники погибли, разодранные на куски, прежде чем смогли бежать!;x
EVTDESCsothoryos.11E;Ваш[From.GetEndA] [From.GetRootRelation] [From.GetTitledFirstName] решил[From.GetEndA] изучить джунгли земли [From.Location.GetName], надеясь найти интересные клады или артефакты. Однако, после нескольких часов поисков, [From.GetSheHe] случайно наткну[From.GetLasLsya] на ядовитую змею! Ярко-зеленое создание кусает [From.GetHerHis], оставляя [From.GetHerHis] с быстро набухающей раной.;x
EVTDESCsothoryos.11F;Находясь в джунглях области [From.Location.GetName], ваш[From.GetEndA] [From.GetRootRelation] [From.GetTitledFirstName] наш[From.GetLaYol] пещеру, казавшуюся неисследованной. [From.GetSheHeCap] и [From.GetHerHis] спутники вошли в пещеру, только чтобы быть атакованными стаей ос! Они сумели сбежать, но после того, как они вернулись в город [From.GetTitledFirstName], у них началась болезненная сыпь и стали появляться странные куски под кожей. Сделав надрез, обнаруживаете, что осы отложили яйца под их кожей!;x
EVTDESCsothoryos.11G;В глубоких, влажных джунглях земли [From.Location.GetName], ваш[From.GetEndA] [From.GetRootRelation] [From.GetTitledFirstName] искал[From.GetEndA] новые пастбища и сокровища. На особенно заросшей и узкой тропе [From.GetSheHe] и [From.GetHerHis] группа попали в засаду свирепого василиска! Он вдвое больше льва, и он быстро расправляется со всеми...;x
EVTDESCsothoryos.11H;Ваш[From.GetEndA] [From.GetRootRelation] [From.GetTitledFirstName] исследовал[From.GetEndA] юг области [RFrom.Location.GetName], проходя через глубокие, плотные джунгли Соториоса, когда [From.GetSheHe] наш[From.GetLaYol] то, что казалось неисследованной, нетронутой долиной. [From.GetSheHeCap] скоро узнал[From.GetEndA], почему она не тронута. [From.GetSheHeCap] и [From.GetHerHis] спутники были атакованы группой свирепых обезьян! Некоторые из них настолько велики, что затмевают крупнейших великанов, и они собираются разорвать многих спутников в клочья...;x
OPTAsothoryos.11;Соториос - опасное место;x
EVTDESCsothoryos.15A;Проходя через регион [Root.Location.GetName], глубоко в джунглях Соториоса, вы проходите мимо пещеры. В этот момент вылетает и атакует вас тридцатифутовая свирепая Пятнистая Виверна!  У великого нефритого-белого зверя ненасытный голод, он ловит вас своим свирепым клювом и пытается поглотить вас!;x
EVTDESCsothoryos.15B;Люди, собравшиеся вокруг вас в земле [Root.Location.GetName] думали, что они в безопасности, пока вас не атаковала стая Виверн-Темнобрюшек! Тысяча этих зверей, размером с мартышку, налетают на поселение, охотясь за легкой добычей. Они заклёвывают этих людей своими жёсткими клювами и душат их своими кожанными крыльями. Затем группа этих виверн находит и вас...;x
EVTDESCsothoryos.15C;Глубоко в джунглях области [Root.Location.GetName] вы отдыхали под пологом деревьев, где, как вы думали, будете в безопасности от хищников. Однако Виверна - Крылатый призрак - атакует вас ночью! Огромный зверь с чёрной чешуёй похож на безогненного дракона, но при этом гораздо более свиреп и пытается разорвать вас на клочья!;x
OPTAsothoryos.15;Я долж[GetNaEn] защитить себя!;x
TOOLTIPsothoryos.16;Вы убиваете Виверну;x
TOOLTIPsothoryos.17;Виверна убивает вас!;x
EVTDESCsothoryos.16;Вам удалось уклониться от атаки Виверны и вследствии нанести смертельный удар злобному зверю. Теперь его труп лежит перед вами.;x
EVTOPTAothoryos.16;Я не боюсь никаких Виверн;x
nick_wyvernsbane;Губитель Виверн;x
EVTDESCsothoryos.17;Вы пытаетесь отбить атаку Виверны, но все безуспешно. Вы истерзаны её жестоким клювом, и теперь вы в её власти.;x
EVTOPTAothoryos.17;Помогите!;x
EVTDESCsothoryos.20A;Вы пробирались через джунгли области [Root.Location.GetName], когда вы заметили ручей. Пройдя через него, вы обнаружили, что на его дне есть много золота!;x
EVTDESCsothoryos.20B;Путешествие далеко в дикие джунгли области [Root.Location.GetName] может быть опасным, но вы были вознаграждены за эту храбрость в этом путешествии. Вы нашли уединенный бассейн, полный солоноватой воды, в который вы нырнули, и в нём вы нашли бесчисленное количество устриц, полных больших жемчужин!;x
EVTDESCsothoryos.20C;Джунгли Соториоса и земли [Root.Location.GetName] могут быть густыми и трудным для ориентирования, но может привести к случайным открытиям. В удаленных местах вы находите много диких экзотических специй, готовых для сбора. Вы собрали все специи и, безусловно, сможете продать их на рынке за хорошую цену.;x
OPTAsothoryos.20;В джунглях, в самом деле, много скрытых богатств!;x
