#CODE;ENGLISH;;;;;;;;;;;;;x
wedding_0;Организовать Свадебный пир;;;;;;;;;;;;;x
wedding_0_desc;Приглашаю всех вассалов на пир по случаю Свадьбы;;;;;;;;;;;;;x
wedding_0_named;[Root.GetTitledFirstNameWithDynasty] и [Root.Spouse.GetTitledFirstName] [Root.Spouse.GetOnlyDynastyName] - провести свадьбу;;;;;;;;;;;;;x
EVTDESC180523;Самое приятное в свадьбе - это организация всего мероприятия.;;;;;;;;;;;;;x
EVTDESC180523DOTHRAKI;Мои служанки и управляющие желают знать насколько крупной будет свадьба…;;;;;;;;;;;;;x
EVTOPTA180523;Дабы показать величие нашего Дома, мы устроим самую роскошную свадьбу;;;;;;;;;;;;;x
EVTOPTB180523;Я устрою большое торжество;;;;;;;;;;;;;x
EVTOPTC180523;Свадьба — это лишь традиция;;;;;;;;;;;;;x
EVTOPTA180523DOTHRAKI;Сделайте ее экстравагантной, чтобы показать мою влиятельность;;;;;;;;;;;;;x
EVTDESC180524;Приготовления к свадьбе почти окончены, но нужно разослать приглашения!;;;;;;;;;;;;;x
EVTDESC180524DOTHRAKI;Большая часть приготовлений к свадьбе сделана, осталось только разослать приглашения моим вассалам.;;;;;;;;;;;;;x
EVTOPTA180524;Я приглашаю вас...';;;;;;;;;;;;;x
EVTTOOLTIP180525;[This.GetTitledFirstNameWithDynasty] приглашается;;;;;;;;;;;;;x
EVTDESC180525;Уважаем[Root.GetAyaYy] [Root.GetTitledName], я приглашаю вас на свадьбу в город [From.Capital.GetName], где вступят в брак [FromFrom.GetTitledFirstNameWithDynasty] и [FromFrom.Spouse.GetTitledFirstName] [FromFrom.Spouse.GetOnlyDynastyName]. С нетерпением ждём вашего приезда.\n\n[From.GetTitledFirstNameWithDynasty];;;;;;;;;;;;;x
EVTDESC180525DOTHRAKI;[Root.GetTitledName], вы приглашены на свадьбу в город [From.Capital.GetName], где вступят в брак [FromFrom.GetTitledFirstNameWithDynasty] и [FromFrom.Spouse.GetTitledFirstName] [FromFrom.Spouse.GetOnlyDynastyName]. Ваше присутствие покажет, что вы благочестив[From.GetAyaYy] [From.GetTitle].\n\n[From.GetTitledFirstName];;;;;;;;;;;;;x
EVTOPTA180525;Я поеду на свадьбу;;;;;;;;;;;;;x
EVTOPTB180525;Я не хочу танцевать!;;;;;;;;;;;;;x
EVTTOOLTIP180526;[From.GetTitledFirstName] сильно разочаровался, узнав, что [Root.GetTitledFirstName] отказывается приехать на свадьбу;;;;;;;;;;;;;x
EVTDESC180526;[GetFromRootInsult] [Root.GetTitledFirstName], я благодарю Вас за приглашение, но не смогу побывать на свадьбе. Если честно, встретиться с вами - это последнее, что мне хочется в этой жизни!\n\nС уважением,\n\n[From.GetTitledFirstName];;;;;;;;;;;;;x
EVTDESC180526B;[GetFromRootCompliment] [Root.GetTitledFirstName], я благодарю вас за приглашение, но я не смогу присутствовать на свадьбе. Передайте привет новоиспеченной невесте.\n\nС уважением,\n\n[From.GetTitledFirstName];;;;;;;;;;;;;x
EVTDESC180526DOTHRAKI;[From.GetTitledFirstName] не ответил[From.GetEndA] на ваше приглашение на свадьбу и, по-видимому, избегает вашего присутствия и обесчестивает вашу власть.;;;;;;;;;;;;;x
EVTOPTA180526;Да и ты мне не слишком нравишься!;;;;;;;;;;;;;x
EVTDESC180527;Я отдаю приказ организовать торжественную церемонию и пир в городе [Root.Capital.GetName] в честь свадьбы, где вступят в брак [From.GetTitledFirstNameWithDynasty] и [From.Spouse.GetTitledFirstName] [From.Spouse.GetOnlyDynastyName]. Пусть начинаются приготовления...;;;;;;;;;;;;;x
EVTDESC180527DOTHRAKI;Я отдаю приказ о проведении в городе [Root.Capital.GetName] дня бесконечного питья, пиршества и драк в честь свадьбы, где вступят в брак [From.GetTitledFirstNameWithDynasty] и [From.Spouse.GetTitledFirstName] [From.Spouse.GetOnlyDynastyName]. Пусть начнутся приготовления...;;;;;;;;;;;;;x
EVTOPTA180527;Все мои вассалы будут там...;;;;;;;;;;;;;x
EVTDESC180528;Гости наконец прибыли! Слуги работали день и ночь, чтобы украсить танцевальный зал, замок никогда не выглядел так торжественно.;;;;;;;;;;;;;x
EVTDESC180528DOTHRAKI;Наступил рассвет свадебного дня. Все ваши гости прибыли, рабы и служанки работали день и ночь, чтобы подготовиться к пиршеству. [From.Spouse.GetTitledFirstName] готовится к открытию свадьбы и все таборы полны энергии.;;;;;;;;;;;;;x
EVTOPTA180528;Добро пожаловать!;;;;;;;;;;;;;x
EVTTOOLTIP180529;Приветствую, [This.GetTitledFirstNameWithDynasty];;;;;;;;;;;;;x
