#CODE;ENGLISH;x
LOADING_TIP_0;Никогда не забывайте - Зима близко.;x
LOADING_TIP_1;Валар Моргулис;x
LOADING_TIP_2;Валар Дохаэрис;x
LOADING_TIP_3;'Тот кто выносит приговор, сам заносит меч' - Нед Старк;x
LOADING_TIP_4;'Камень не горит' - Харрен Чёрный;x
LOADING_TIP_5;Кастеляна Железного трона также именуют Десницей Короля;x
LOADING_TIP_6;'Те, кто играют в престолы, либо побеждают, либо умирают, середины не бывает.' - Петир Бейлиш;x
LOADING_TIP_7;C чего бы мне, — сказал тот лорд, — Склоняться пред тобой?;x
LOADING_TIP_8;Не. Доверяйте. Мизинцу;x
LOADING_TIP_9;Верный виночерпий может защитить от яда.;x
LOADING_TIP_10;То, что мертво, умереть не может, но восстает вновь, сильнее и крепче!;x
LOADING_TIP_11;Вы можете отправить узника на Стену;x
LOADING_TIP_12;Слова - это ветер.;x
LOADING_TIP_13;Чёрные крылья, чёрные вести;x
LOADING_TIP_14;Жил-был медведь, косолапый и бурый! Страшный, большой и с мохнатою шкурой!;x
LOADING_TIP_15;Если у вас нет мейстера, то вы можете отправить письмо в Цитадель.;x
LOADING_TIP_16;Никогда не пытайтесь напасть на рыцаря Королевской Гвардии. Ничем хорошим это не закончится.;x
LOADING_TIP_17;Вы можете произвести женщину в рыцари, если у неё характер бойца.;x
LOADING_TIP_18;Ночь темна и полна ужасов;x
LOADING_TIP_19;Ктулхупоклонникам нельзя доверять.;x
LOADING_TIP_20;Обычно только последователи веры Семерых могут стать рыцарями.;x
LOADING_TIP_21;Охота может нести скрытую опасность...;x
LOADING_TIP_22;'Деньги покупают молчание лишь на время. Стрела в сердце покупает его навсегда' - Петир Бейлиш;x
LOADING_TIP_23;Если вы находитесь в плену у одержимого огнём, суд поединком вряд ли поможет.;x
LOADING_TIP_24;Ходор.;x
LOADING_TIP_25;'Вонючка, вонючка, рифма - тучка' - Теон Грейджой;x
LOADING_TIP_26;'Хорошо, что у богов целых семь преисподних — одна братьев Клиганов нипочём не вместила бы.' - Джейме Ланнистер ;x
LOADING_TIP_27;'Если бы я мог молиться своим мужским естеством, я был бы гораздо набожнее.' - Тирион;x
LOADING_TIP_28;'Моя дочь взяла себе в любовники топор, и я не потерплю, чтобы мой сын обвешивался побрякушками, как шлюха. Всё так, как я и боялся. Зелёные земли размягчили тебя, и ты стал одним из Старков' - Бейлон Грейджой;x
LOADING_TIP_29;'Почему это мёртвый должен быть правдивее или умнее, чем при жизни? Скорей всего он стал бы ныть и жаловаться – земля, мол, чересчур холодна, надгробная плита мала, да и червей у других побольше, чем у него…' - Скорбный Эдд;x
LOADING_TIP_30;'Не бойся его, девочка. Если лягушку раскрасить полосками, тигром она от этого не станет.' - Сандор Клиган Сансе Старк;x
LOADING_TIP_31;'Даже сейчас я сумею одолеть вас пятерых – так, как кинжал режет сыр.' - Барристан Селми;x
LOADING_TIP_32;'Вот единственный король, перед которым я готов преклонить колено, милорды! Король Севера!' - Большой Джон Амбер;x
LOADING_TIP_33;'Читающий проживает тысячу жизней, прежде чем умрет. Человек, никогда не читающий, проживёт лишь одну.' - Жоен Рид;x
LOADING_TIP_34;'Штурмуйте, милорд, — только вспомните прежде, как этот замок называется.' - Кортни Пенроз Станнису;x
LOADING_TIP_35;'Мужчины - это мужчины. Обеты - только слова. А слова - это ветер.' - Железный Эммет;x
LOADING_TIP_36;'Валар Моргулис. Валар Моргулис. Валар Моргулис.' - Арья Старк;x
LOADING_TIP_37;'Отмщение. Справедливость. Огонь и кровь.' - Принц Доран;x
LOADING_TIP_38;'Не заставляй меня сожалеть о том дне, когда я изнасиловал твою мать.' - Русе Болтон Рамси;x
LOADING_TIP_39;'Так юн. Хотя, может статься, это было благословением. Останься он жив, он мог бы вырасти Фреем.' - Виман Мандерли;x
LOADING_TIP_40;Рейгар сражался отважно, Рейгар сражался благородно, Рейгар сражался честно. И Рейгар погиб.;x
LOADING_TIP_41;'Страх режет глубже меча.' - Сирио;x
LOADING_TIP_42;'Шагга полагает, что три топора лучше, чем два.' - Тирион;x
LOADING_TIP_43;'Наши колени не преклонятся.' - Сир Эртур Дейн, Меч Зари;x
LOADING_TIP_44;'Таких как я нет. Я один такой.' - Джейме;x
LOADING_TIP_45;Север помнит…;x
LOADING_TIP_46;'Ходор, Ходор….Ходор' - Ходор;x
LOADING_TIP_47;'Рождённый среди дыма и соли? Как окорок?' - Ренли Баратеон;x
LOADING_TIP_48;'Если ты собираешься взять человеческую жизнь, сам загляни в глаза осуждённого. Ну а если ты не в силах этого сделать, тогда человек, возможно, и не заслуживает смерти' - Эддард Старк;x
LOADING_TIP_49;Король Джейхейрис как-то сказал мне, что безумие и величие — это две стороны одной монеты. Каждый раз, когда рождается новый Таргариен, боги подбрасывают монету, и весь мир, затаив дыхание, следит, какой стороной она ляжет.;x
LOADING_TIP_50;'Убей мальчика, Джон Сноу. Убей мальчика и дай мужчине родиться.' - Мейстер Эймон;x
LOADING_TIP_51;'Но Дейнерис Таргариен — не служанка. Она вдова дотракийского кхала, мать драконов и разрушительница городов, Эйегон Завоеватель с сиськами.' - Тирион Эйгону (Юному Грифу);x
LOADING_TIP_53;'Честь?!?! Я правлю Семью Королевствами! Один король — Семь королевств! Думаешь, честь сохраняет мир?! Нет, это страх! Страх и кровь!' - Роберт Баратеон;x
LOADING_TIP_54;'Власть помещается там, где человек верит, что она помещается. Ни больше ни меньше. ...Тень на стене, но тени могут убивать. И порой очень маленький человек отбрасывает очень большую тень.' - Варис;x
