#CODE;ENGLISH;x
OTHER; ;x
OTHER_FOA; ;x
winter_group;Зима;x
white_walker;Белый ходок;x
winter_wasteland;Зимняя пустошь;x
winter_religion;Зима;x
cold_gods;Холодные Боги;x
cold_gods_DESC;Белый Хлад;x
d_winter;Зима;x
d_winter_adj;Духи;x
d_winter_essos;Зима;x
d_winter_essos_adj;Духи;x
CB_NAME_OTHERS_INVASION_WALL;Вторжение Иных;x
CB_NAME_OTHERS_INVASION;Вторжение [Title.GetBaseName];x
WAR_NAME_OTHERS_INVASION;Вторжение Иных;x
war_dawn;Война за Рассвет;x
war_dawn_desc;§YВойна за Рассвет§! - предсказанное событие. Сказано, что эта война будет войной за саму жизнь, что она будет вестись между человечеством (возможно, в союзе со старыми расами, такими как дети леса) против Иных и, по некоторым сведениям, Великого Иного. Принцу, Что Был Обещан, суждено сыграть свою роль в этой великой войне.\n\nТысячи лет назад, предыдущая война с Иными произошла во времена Долгой Ночи. По рассказам, она закончилась поражением Иных в Битве за Рассвет, возглавляемая последним героем, или Азором Ахаем.;x
CB_NAME_WAR_DAWN;Война за Рассвет;x
WAR_NAME_WAR_DAWN;$CLAIMANT$ война $ORDER$ за Рассвет;x
TOOLTIPwar_dawnCONTINENT;Столица [Root.GetTitledFirstName] на том же континенте, что Иных [From.Capital.Kingdom.GetName]\n;x
TOOLTIPwar_dawnNEIGHBOUR;Государство [Root.GetTitledFirstName] соседствует с Иными [From.Capital.Kingdom.GetName]\n;x
TOOLTIPwar_dawnCONTINENTCLEAR;[Root.Capital.Kingdom.GetName] и весь остальной континент свободен от Иных\n;x
EVTDESCcold_winds.1;Задувают холодные ветра. В лесах видели Белых ходоков, они убивают живых и поднимают мёртвых.;x
EVTDESCcold_winds.3;Разведчики приносят ужасные новости. В лесах были замечены Белые ходоки и ожившие мертвецы.;x
EVTDESCcold_winds.4;Мертвые заполонили провинцию, она присоединилась к царству Зимы.;x
EVTDESCcold_winds.5;Наступила жестокая зима, и поднялись Белые ходоки. Многие из северных кланов пали от их ледяной руки.;x
white_walker_desc;Этот персонаж из Белых ходоков.;x
