#CODE;ENGLISH;x
independent_high_lordships;Независимые Верховные лордства;x
independent_high_lordships_desc;Все титулы Верховных лордов будут уничтожены и станут недоступными. Все вассалы, относящиеся к уничтоженным титулам станут независимыми. Все верховные лордства станут создаваемыми, даже если столица находится не на их территории.;x
TOOLTIPINDEPENDENTHL;Все имперские и королевские титулы будут уничтожены.;x
k_winterfellTK;Винтерфелл;x
winterking_male;Король Зимы;x
winterking_female;Королева Зимы;x
k_skagosTK;Скагос;x
k_karholdTK;Кархолд;x
k_lasthearthTK;Последний Очаг;x
k_northclansTK;Северные Кланы;x
k_wolfswoodTK;Волчий Лес;x
wolfking_male;Волчий Король;x
wolfking_female;Волчья Королева;x
k_rillsTK;Родники;x
k_barrowlandsTK;Курганы;x
barrowking_male;Король Курганов;x
barrowking_female;Королева Курганов;x
k_flintsfingerTK;Кремневый Палец;x
k_theneckTK;Перешеек;x
marshking_male;Болотный Король;x
marshking_female;Болотная Королева;x
k_whiteharborTK;Белая Гавань;x
k_hornwoodTK;Хорнвуд;x
k_dreadfortTK;Дредфорт;x
dreadking_male;Красный Король;x
dreadking_female;Красная Королева;x
k_thecrossingTK;Переправа;x
k_oldstonesTK;Старые Камни;x
k_tridentTK;Трезубец;x
k_blackwoodTK;Блэквуд;x
k_riverrunTK;Риверран;x
riverking_male;Речной Король;x
riverking_female;Речная Королева;x
k_southstoneTK;Южный Камень;x
k_acornsridgeTK;Желуди;x
k_harrenhalTK;Харренхолл;x
k_bayofclawsTK;Залив Когтя;x
k_the_biteTK;Пасть;x
k_the_sistersTK;Сестры;x
k_northwealdTK;Северная пустошь;x
k_the_fingersTK;Персты;x
k_strongsongTK;Суровая песнь;x
k_the_giants_lanceTK;Долина Аррен;x
k_eastwealdTK;Восточная пустошь;x
k_runestoneTK;Рунный камень;x
bronzeking_male;Бронзовый король;x
bronzeking_female;Бронзовая королева;x
k_wickendenTK;Викенден;x
k_pykeTK;Пайк;x
k_great_wykTK;Большой Вик;x
k_harlawTK;Харлоу;x
k_seastone_islesTK;Острова Морского Камня;x
k_casterly_rockTK;Утес;x
k_crakehallTK;Крейкхолл;x
k_kayceTK;Кайс;x
k_cornfieldTK;Нива;x
k_silverhillTK;Серебрянный Холм;x
k_goldroadTK;Золотая дорога;x
k_castamereTK;Кастамере;x
k_sarsfieldTK;Сарсфилд;x
k_golden_toothTK;Золотой Зуб;x
k_ashemarkTK;Эшмарк;x
k_the_cragTK;Скала;x
k_duskendaleTK;Сумеречный Дол;x
shadowking_male;Сумеречный Король;x
shadowking_female;Сумеречная Королева;x
k_rosbyTK;Росби;x
k_crackclaw_pointTK;Коготь;x
k_dragonstoneTK;Драконий Камень;x
dragonking_male;Драконий Король;x
dragonking_female;Драконья Королева;x
k_kings_landingTK;Черноводный залив;x
k_blackwater_rushTK;Черноводная;x
k_kingswoodTK;Королевский Лес;x
k_masseys_hookTK;Крюк;x
k_highgardenTK;Хайгарден;x
k_northmarchTK;Северная марка;x
k_oldtownTK;Старомест;x
k_the_arborTK;Арбор;x
k_brightwaterTK;Ясноводная;x
k_west_marchesTK;Западная марка;x
k_cockleswhentTK;Зыбкая;x
k_blueburnTK;Синий Ручей;x
k_roseroadTK;Дорога Роз;x
k_tumbletonTK;Тамблтон;x
k_the_ringTK;Звено;x
k_goldengroveTK;Золотая Роща;x
k_red_lakeTK;Красное Озеро;x
k_ocean_roadTK;Океанская Дорога;x
k_the_shield_islesTK;Щитовые острова;x
k_mandervaleTK;Долина Мандер;x
k_shipbreakerTK;Штормовой Предел;x
k_tarthTK;Пролив Тарт;x
k_wendwaterTK;Путеводная;x
k_summerhallTK;Летний Замок;x
k_dornish_marchesTK;Дорнийские Марки;x
k_red_watchTK;Красный Дозор;x
k_cape_wrathTK;Гневный Мыс;x
k_rainwoodTK;Дождливый Лес;x
k_brokenarmTK;Перебитая Рука;x
k_ghosthillsTK;Призрачный Холм;x
k_vaithTK;Вейт;x
k_brimstoneTK;Бримстон;x
k_redmountainsTK;Красные Горы;x
k_princespassTK;Принцев перевал;x
k_stonewayTK;Каменный Путь;x
k_upper_rhoyne;Верхняя Ройна;x
k_flatlands;Плоские земли;x
k_disputed_lands;Спорные земли;x
k_forest_qohor;Квохорский лес;x
k_the_axe;Секира;x
k_hills_of_norvos;Холмы Норвоса;x
k_the_marches;Марши;x
k_orange_shore;Оранжевый берег;x
