#CODE;ENGLISH;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.1;[Root.GetTitledFirstNameNoRegnal], меня несправедливо заключил[FromFrom.Host.GetEndA] в тюрьму [FromFrom.Host.GetTitledFirstNameNoRegnal] и, видя, что вряд ли получу справедливое правосудие от н[FromFrom.Host.GetHerHis], я потребовал[FromFrom.GetEndA] испытание поединком, чтобы доказать свою невиновность. Как ваш[FromFrom.GetEndA] [GetFromFromRelation], Я прошу вас быть моим защитником на суде и вступиться за мою честь!\n\nС уважением,\n[FromFrom.GetTitledFirstNameWithDynastyNoRegnal];;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.1;Я буду сражаться за н[FromFrom.GetHerHis];;;;;;;;;;;;;x;;;;
EVTOPTBtrial_by_combat.1;Я так не думаю;;;;;;;;;;;;;x;;;;
EVTTOOLTIPtrial_by_combat.2;будет в радости от согласия;;;;;;;;;;;;;x;;;;
EVTTOOLTIPtrial_by_combat.3;будет в разочаровании от отказа;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.2;[Root.PrimaryTitle.GetFOA], я, [From.GetTitledFirstNameWithDynastyNoRegnal], докажу мою преданность вам и выступлю на вашей стороне в испытании поединком против человека, известного как [Root.Host.GetTitledFirstNameNoRegnal];;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.2;Хорошо, теперь [Root.Host.GetTitledFirstNameNoRegnal] выберет своего защитника;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.3;[Root.GetTitle] [Root.GetFirstName], боюсь, что я не могу выступить за вас в испытании поединком, это представляет слишком большой риск для меня.\n\nС уважением,\n[From.GetTitledFirstNameWithDynastyNoRegnal];;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.3;Где [From.GetHerHis] честь?;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.4;Стражники притащили пленника по именни [From.GetFirstNameWithDynasty] из [From.GetHerHis] камеры и бросили к вашим ногам. 'Я требую справедливости, – проговорил[From.GetEndA] [From.GetSheHe], – по праву рождения и крови, я требую испытания поединком'.;;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.4;У вас есть это право. Я выберу кого-нибудь, кто выступит за своего правителя;;;;;;;;;;;;;x;;;;
EVTOPTBtrial_by_combat.4;Я принимаю. Но я не позволю моим сыновьям рисковать своей жизнью, возможно, кто-то из вас готов сражаться?;;;;;;;;;;;;;x;;;;
EVTOPTCtrial_by_combat.4;Я соглашаюсь. Нам придется тянуть жребий.;;;;;;;;;;;;;x;;;;
EVTOPTDtrial_by_combat.4;Я лично выйду на поединок.;;;;;;;;;;;;;x;;;;
EVTOPTEtrial_by_combat.4;Нет, я не могу себе позволить упустить [From.GetHerHis]. Верните узника в его камеру!;;;;;;;;;;;;;x;;;;
EVTOPTFtrial_by_combat.4;Огонь является защитником дома [This.GetOnlyDynastyName].;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.5;Возмутительно нарушив древние законы и обычаи, [From.GetTitledFirstNameNoRegnal] отказал[From.GetEndA] вам в испытании поединком.;;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.5;Они пожалеют об этом;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.6;Кто должен стать моим чемпионом в испытании поединком против персонажа [FromFrom.GetFirstNameWithDynasty]?;;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.6;[champion_1.GetTitledFirstNameNoRegnal] [champion_1.GetOnlyDynastyName] искусен в обращении с оружием;;;;;;;;;;;;;x;;;;
EVTOPTBtrial_by_combat.6;[champion_2.GetTitledFirstNameNoRegnal] [champion_2.GetOnlyDynastyName] будет храбро сражаться;;;;;;;;;;;;;x;;;;
EVTOPTCtrial_by_combat.6;[champion_3.GetTitledFirstNameNoRegnal] [champion_3.GetOnlyDynastyName] защитит мою честь;;;;;;;;;;;;;x;;;;
EVTOPTDtrial_by_combat.6;[champion_4.GetTitledFirstNameNoRegnal] [champion_4.GetOnlyDynastyName] сделает это;;;;;;;;;;;;;x;;;;
EVTOPTEtrial_by_combat.6;Они столкнутся с моей Королевской гвардией.;;;;;;;;;;;;;x;;;;
EVTOPTFtrial_by_combat.6;Никто в моем дворе не подходит;;;;;;;;;;;;;x;;;;
TOOLTIPtrial_by_combat.6;Ранее неизвестный воин из города [Root.Capital.GetName] становится вашим защитником\n;;;;;;;;;;;;;x;;;;
TOOLTIPCHOOSETHISPERSON;[This.GetTitledFirstNameNoRegnal] будет сражаться за вас.;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.7;Я был[GetEndA] выбран[GetEndA] защитником персонажа [From.GetTitledFirstNameNoRegnal] в испытании поединком против человека, известного как [FromFromFrom.GetTitledFirstNameNoRegnal];;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.7;Я буду защищать [From.GetHerHis] честь;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.8;[From.GetTitledFirstNameNoRegnal] выходит вперед: 'Я буду сражаться за вас, [Root.PrimaryTitle.GetFOA]'.;;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.8;Хорошего боя, [From.GetTitledFirstNameNoRegnal].;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.9;Таким образом, [From.GetTitledFirstNameNoRegnal] принял[From.GetEndA] моё требование на испытание поединком и выбрал[From.GetEndA] своего защитника, теперь все готово к началу...;;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.9;Это будет трудный бой;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.10;[FromFrom.GetTitledFirstNameNoRegnal] объявляет начало судебного разбирательства. [From.GetTitledFirstNameNoRegnal] будет сражаться до смерти в поединке...;;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.10;Правосудие начинается...;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.11;[From.GetTitledFirstNameNoRegnal] сразил[From.GetEndA] человека, известного как [FromFrom.GetTitledFirstNameWithDynastyNoRegnal], [FromFrom.GetHerHis] план окончательно проваливается.;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.11B;[From.GetTitledFirstNameNoRegnal] убилчеловека, известного как человека, известного как [FromFrom.GetTitledFirstNameWithDynastyNoRegnal], [FromFrom.GetHerHis] план окончательно проваливается.;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.11C;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] проигрывает вам, [FromFrom.GetHerHis] план окончательно проваливаетя.;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.11D;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] был[FromFrom.GetEndA] убит[FromFrom.GetEndA] вами, [FromFrom.GetHerHis] план окончательно проваливается;;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.11;[Root.Religion.GetHighGodName] благоволит мне;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.12;Вы с ужасом наблюдаете, как [FromFrom.GetTitledFirstNameNoRegnal] падает на пол, [From.GetFirstNameWithDynasty] тяжело ранит [FromFrom.GetHerHis]. Ваш пленник уходит с улыбкой на своём лице, пока весь двор смотрит с недоумением;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.12B;Вы с ужасом наблюдаете, как [FromFrom.GetTitledFirstNameNoRegnal] падает замертво, [From.GetFirstNameWithDynasty] убивает [FromFrom.GetHerHis]. Ваш пленник уходит с улыбкой на своём лице, пока весь двор смотрит с недоумением;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.12C;Вы потрясены, когда падаете на пол, [From.GetFirstNameWithDynasty] тяжело ранит вас и заставляет вас уступить. Заключенный уходит с улыбкой на своём лице, пока весь двор замер в недоумении.;;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.12;Этого не может быть!;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.13;Стражники притащили пленника по имени [From.GetFirstNameWithDynasty] из [From.GetHerHis] камеры и бросили к вашим ногам. 'Я требую справедливости, – проговорил[From.GetEndA] [From.GetSheHe]. – По праву рождения и крови, я требую испытания поединком. [FromFrom.GetTitledFirstNameWithDynastyNoRegnal] будет моим защитником'.;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.14;Я был выбран защитником персонажа [From.GetTitledFirstNameNoRegnal] в испытании поединком против персонажа [FromFromFrom.GetTitledFirstNameNoRegnal], защитника человека, известного как [FromFrom.GetTitledFirstNameNoRegnal].;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.15;[From.GetTitledFirstNameNoRegnal] выходит вперед: 'Я буду сражаться за вас, [Root.PrimaryTitle.GetFOA]'.;;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.15;Хорошего боя, [From.GetTitledFirstNameNoRegnal].;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.16;[FromFrom.GetTitledFirstNameNoRegnal] выбрал[FromFrom.GetEndA] человека, известного как [From.GetTitledFirstNameNoRegnal] для поединка с моим защитником в испытании поединком;;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.16;Будем надеяться, что [Root.Religion.GetHighGodName] с ним;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.17;Смело сделав шаг вперед, [From.GetTitledFirstNameNoRegnal] сам решил выйти на поединок против моего защитника.;;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.17;[From.GetSheHeCap] рискнет своей собственной жизнью?;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.18;[From.GetFirstNameWithDynasty] готов[From.GetEndA] начать испытание поединком. Я должен храбро сражаться против чемпиона, которго выбрал[From.Host.GetEndA] [From.Host.GetTitledFirstNameNoRegnal].;;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.18;Правосудие начинается...;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.19;[FromFrom.GetFirstNameWithDynasty] и [FromFrom.Host.GetTitledFirstNameNoRegnal] готовы приступить к испытанию поединком. Я должен победить человека, известного как [From.GetTitledFirstNameNoRegnal]...;;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.19;Пусть дуэль начнется!;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.20;Ваш чемпион [FromFrom.GetFirstNameWithDynasty] пал от руки человека, известного как [From.GetTitledFirstNameNoRegnal]. Вас признали виновным.;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.20B;Ваш чемпион [FromFrom.GetFirstNameWithDynasty] пал от руки человека, известного как [From.GetTitledFirstNameNoRegnal] и был убит. Вас признали виновным.;;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.20;И теперь вы будете осуждены...;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.21;Вы с ликованием наблюдаете как [FromFrom.GetTitledFirstNameNoRegnal] управляется со своим мечом, побеждая защитника человека, известного как [From.GetFirstNameWithDynasty], нанося град ударов. [Root.Religion.GetHighGodName] покинул их, а значит заключенный виновен.;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.21B;Вы с ликованием наблюдаете как [FromFrom.GetTitledFirstNameNoRegnal] управляется со своим мечом, убивая защитника человека, известного как [From.GetFirstNameWithDynasty]. [Root.Religion.GetHighGodName] покинул их, а значит заключенный виновен.;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.21C;Вы чувствуете триумф, когда [FromFromFrom.GetFirstNameWithDynasty] получает град ударов от вашего меча, и заставляя [FromFromFrom.GetHerHis] уступать. [Root.Religion.GetHighGodName] ясно высказались, а значит [From.GetFirstNameWithDynasty] винов[From.GetNaEn].;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.21D;Вы чувствуете триумф, безжалостно осыпая своего противника, известного как [FromFromFrom.GetFirstNameWithDynasty] градом ударов и нанося [FromFromFrom.GetHerHim] смертельный удар. [Root.Religion.GetHighGodName] ясно высказались, а значит [From.GetFirstNameWithDynasty] винов[From.GetNaEn].;;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.21;[Root.Religion.GetHighGodName] покинул их;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.120;[From.GetTitledFirstNameWithDynastyNoRegnal] был[From.GetEndA] признан[From.GetEndA] виновн[From.GetOyYm], как повелел [Root.Religion.GetHighGodName], какое наказание [From.GetSheHe] получит?;;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.120;Казнить [From.GetHerHis], [Root.Religion.GetHighGodName] хочет этого!;;;;;;;;;;;;;x;;;;
EVTOPTBtrial_by_combat.120;Я буду милосердн[GetOyYm], отправьте [From.GetHerHis] на Стену;;;;;;;;;;;;;x;;;;
EVTOPTCtrial_by_combat.120;Отправить [From.GetHerHis] гнить в темницу;;;;;;;;;;;;;x;;;;
EVTOPTFtrial_by_combat.120;По закону, совет решит вашу судьбу;;;;;;;;;;;;;x;;;;
EVTOPTDtrial_by_combat.120;[From.GetSheHeCap] может остаться здесь, как мой 'гость';;;;;;;;;;;;;x;;;;
TOOLTIPtrial_by_combat.121;[This.GetTitledFirstName] отправится на §Rказнь§!;;;;;;;;;;;;;x;;;;
TOOLTIPtrial_by_combat.122;[This.GetTitledFirstName] отправится в §RНочной Дозор§! и облачится в черное;;;;;;;;;;;;;x;;;;
TOOLTIPtrial_by_combat.123;[This.GetTitledFirstName] будет гнить в §Rтемнице§!;;;;;;;;;;;;;x;;;;
TOOLTIPtrial_by_combat.124;[This.GetTitledFirstName] останется под §Rдомашним арестом§!;;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.121;Судебный поединок закончился, и вы проиграли. Глашатай объявляет волю правителя: '[Root.GetFirstNameWithDynasty], Вы были признаны виновными, и как [From.GetTitledFirstNameoftheHouse], [From.GetTitle] земли [From.PrimaryTitle.GetName], решает, вы будете казнены.';;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.122;Судебный поединок закончился, и вы проиграли. Глашатай объявляет волю правителя: '[Root.GetFirstNameWithDynasty], Вы были признаны виновными, но [From.GetTitledFirstNameoftheHouse], [From.GetTitle] земли [From.PrimaryTitle.GetName], решает проявить милосердие. Вы будете сосланы в Ночной Дозор, где примите присягу черных братьев. Вы будете защищать царство человека до конца ваших дней.';;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.123;Судебный поединок закончился, и вы проиграли. Глашатай объявляет волю правителя: '[Root.GetFirstNameWithDynasty], Вы были признаны виновными, и [From.GetTitledFirstNameoftheHouse], [From.GetTitle] земли [From.PrimaryTitle.GetName], решает немедленно заточить вас обратно в темницы, где вы были, до тех пор, пока не удостоверится, что вы получили достойный урок.';;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.124;Судебный поединок закончился, и вы проиграли. Глашатай объявляет волю правителя: '[Root.GetFirstNameWithDynasty], Вы были признаны виновными, и [From.GetTitledFirstNameoftheHouse], [From.GetTitle] земли [From.PrimaryTitle.GetName], решает содержать вас под арестом, Вам предоставят кров, уважая ваше положение и статус';;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.125;Судебный поединок закончился, и вы проиграли. Глашатай объявляет волю правителя: '[Root.GetFirstNameWithDynasty], Вы были признаны виновными, но [From.GetTitledFirstNameoftheHouse], [From.GetTitle] земли [From.PrimaryTitle.GetName], решает проявить милосердие. Вы должны быть изгнаны в священство, дать присягу и служить церкви оставшиеся вам дни';;;;;;;;;;;;;x;;;;
EVTDESCtrial_by_combat.126;Судебный поединок закончился, и вы проиграли. Глашатай объявляет волю правителя: '[Root.GetFirstNameWithDynasty], Вы были признаны виновными, но [From.GetTitledFirstNameoftheHouse], [From.GetTitle] земли [From.PrimaryTitle.GetName], решает проявить милосердие. Вы сохрание свою жизнь, но будете изгнаны из земли [From.PrimaryTitle.GetFullName]';;;;;;;;;;;;;x;;;;
EVTOPTAtrial_by_combat.123;Я увижу свет снова?;;;;;;;;;;;;;x;;;;
