#CODE;ENGLISH;x;;;
EVTDESCFREECITIES100;[Root.Location.GetName]. Каждую ночь вы выходите на улицы города и наблюдаете за танцем браво. Сталь поет от внезапных ударов и это захватывает вас. Однажды вы заставляете себя взяться за деревянный меч и выполнять плавные упражнения.;x;;;
EVTOPTAFREECITIES100;Я тоже хочу стать браво!;x;;;
EVTDESCFREECITIES1001;Рано утром вы находите, что [From.GetRootRelation] [From.GetFirstName], с деревянным мечом в руке, выполняет упражнения. [From.GetSheHeCap] утверждает, что хочет стать браво и сразиться с лучшими бойцами.;x;;;
EVTOPTAFREECITIES1001;Неплохое занятие для юн[From.GetOyOgo] [From.GetManWoman]ы.;x;;;
EVTOPTBFREECITIES1001;Ты в своем уме? Это слишком опасно!;x;;;
EVTDESCFREECITIES1002;Ваш[From.GetEndA] [From.GetRootRelation] обнаружил[From.GetEndA] вас рано утром, тренерующ[GetEyIm]ся с деревянным мечом в руке. К счастью, [From.GetSheHe] одобряет ваши занятия и хочет показать вам несколько новых движений.;x;;;
EVTOPTAFREECITIES1002;Колоть острым концом.;x;;;
EVTDESCFREECITIES1003;Ваш[From.GetEndA] [From.GetRootRelation] наш[From.GetLaYol] вас во дворе с деревянным мечом в руке и [From.GetSheHe] был[From.GetEndA] в ярости. На протяжении всего дня вы выслушивали лекции и были отстранены от тренировок.;x;;;
EVTOPTAFREECITIES1003;...может я и не хотел[GetEndA] быть браво.;x;;;
EVTDESCFREECITIES1026;Принц [FromFrom.GetFirstName] умер и был избран новый. Эту великую честь получил [From.GetFirstNameWithDynasty], который взял имя [From.GetTitledFirstName] и теперь председательствует на всех важных мероприятиях, а в первый день каждого года должен лишать девственности Деву Полей и Деву Морей.;x;;;
EVTDESCFREECITIES1026B;Должность Принца Города некоторое время пустовала, и поэтому [From.GetFirstNameWithDynasty], взявший имя [From.GetTitledFirstName], получил пост в дар, как приказал [FromFromFrom.GetTitledFirstName], и теперь председательствует на всех важных мероприятиях, а в первый день каждого года должен лишать девственности Деву Полей и Деву Морей.;x;;;
EVTOPTAFREECITIES1026;До тех пор, пока боги благоволят ему;x;;;
