#CODE;ENGLISH;x
stark;Родословная Старка;x
stark_desc;Брандон Строитель построил Стену, которая защищает Царство Человека от всего, что за ней. Родовой клинок Старка, Лёд, передавался через поколения Дома в течение тысяч лет.;x
lannister;Родословная Ланнистера;x
lannister_desc;Ланн Умный обманом заставил Кастерли одать ему Утёс Кастерли. Они являются одним из самых богатых домов в Вестеросе благодаря находящимся под их контролем золотым рудникам.;x
arryn;Родословная Аррена;x
arryn_desc;Сир Артис Аррен убил Короля-Грифона и был коронован как Король Горы и Долины. Аррены правят из Орлиного Гнезда, крепости, которая считается неприступной.;x
tully;Родословная Талли;x
tully_desc;Лорд Эдмин Талли первым в Речных землях встал на сторону Эйгона Завоевателя против Железного Короля Харрена Черного и был вознагражден контролем над этими обширными и плодоносными владениями.;x
tyrell;Родословная ТИрелла;x
tyrell_desc;Лорд Харлен Тирелл получил Хайгарден и власть над Простором после смерти Короля Мерна IX Гарденера. Этот дом прослеживает свой род от Гарта Зеленорукого, породнившись с Гарденерами во времена Мерна VI.;x
martell;Родословная Нимерос-Мартелла;x
martell_desc;Принц Морс Мартелл женился на Нимерии, ройнарской Королеве Воинов, и объединил Дорн под знаменем Дома Нимерос-Мартеллов.;x
targaryen;Родословная Таргариена;x
targaryen_desc;Дом Таргариен - благородное семейство валирийского происхождения. Они оказались единственным домом драконьих владык, переживших Гибель Валирии.;x
greyjoy;Родословная Грейджоя;x
greyjoy_desc;Викон Грейджой был избран править Железными островами после уничтожения Дома Хоаров. Грейджои могут проследить род от легендарного Серого Короля.;x
baratheon;Родословная Баратеона;x
baratheon_desc;Орис Баратеон, по слухам, брат-бастард короля Эйгона Завоевателя, убил последнего Штормового короля Аргилака Дюррандона и присвоил его герб, девиз и дочь.;x
garth_greenhand;Родословная Гарта Зеленорукого;x
garth_greenhand_desc;Гарт Зеленорукий был первым правителем Простора, он носил корону из цветов и винограда и обладал магической силой, заставляющей землю цвести.;x
hoare;Родословная Хоара;x
hoare_desc;Известные как чёрная линия или чёрная кровь, Хоары стали королями Железных островов после того, как андальские поселенцы на островах положили конец правлению Дома Грейайронов.;x
durrandon;Родословная Дюррандона;x
durrandon_desc;Штормовой Король Дурран построил Штормовой Предел и завоевал любовь Эленеи, дочери Морского бога и Богини ветра.;x
bloodline_divine;Божественная родословная;x
bloodline_divine_desc;Этот персонаж является потомком того, кто принял на себя 'Божественную' мантию, став легендой на века;x
blood_of_the_dragon;Кровь Дракона;x
blood_of_the_dragon_desc;Родословная Драконьих владык Старой Валирии.;x
northman_bl;[Root.GetBloodlineName];x
northman_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных на Севере;x
valeman_bl;[Root.GetBloodlineName];x
valeman_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных в Долине;x
riverlander_bl;[Root.GetBloodlineName];x
riverlander_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных в Речных землях;x
reachman_bl;[Root.GetBloodlineName];x
reachman_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных в Просторе;x
westerman_bl;[Root.GetBloodlineName];x
westerman_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных в Западных землях;x
dornish_bl;[Root.GetBloodlineName];x
dornish_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных в Дорне;x
stormlander_bl;[Root.GetBloodlineName];x
stormlander_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных в Штормовых землях;x
ironborn_bl;[Root.GetBloodlineName];x
ironborn_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных на Железных островах;x
blackfyre_bl;Родословная Блэкфайра;x
blackfyre_bl_desc;Основатель Дома, Деймон Блэкфайр, получил от своего отца, Эйгона IV Недостойного, родовой меч Таргариенов - Чёрное Пламя. Расценив это как желание отца показать истиного наследника, поднял восстание против единокровного брата Дейрона II;x
GetBloodlineName_default;Родословная Дома [This.GetOnlyDynastyName];x
GetBloodlineName_imperial;Царственная родословная Дома [This.GetOnlyDynastyName];x
GetBloodlineName_cadet;[bloodline_title.GetAdjective] родословная Дома [This.GetOnlyDynastyName];x
e_iron_throne_bl;[Root.GetBloodlineName];x
e_iron_throne_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных в Семи Королевствах;x
e_new_valyria_bl;[Root.GetBloodlineName];x
e_new_valyria_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных в землях Валирийского Фригольда;x
e_summer_sea_bl;[Root.GetBloodlineName];x
e_summer_sea_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Летнего моря;x
e_ghiscar_bl;[Root.GetBloodlineName];x
e_ghiscar_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных в Гискарской империи;x
e_yi_ti_bl;[Root.GetBloodlineName];x
e_yi_ti_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных в Зотолой империи И-Ти;x
old_first_man_bl;[Root.GetBloodlineName];x
old_first_man_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных среди Первых людей;x
sisterman_bl;[Root.GetBloodlineName];x
sisterman_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных на Сёстрах;x
old_andal_bl;[Root.GetBloodlineName];x
old_andal_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных в Андалосе;x
hill_clansman_bl;[Root.GetBloodlineName];x
hill_clansman_bl;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных среди Горных кланов;x
crannogman_bl;[Root.GetBloodlineName];x
crannogman_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Перешейка;x
crackclawmen_bl;[Root.GetBloodlineName];x
crackclawmen_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Когтя;x
valyrian_bl;[Root.GetBloodlineName];x
valyrian_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Валирии;x
pentosi_bl;[Root.GetBloodlineName];x
pentosi_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Пентоса;x
braavosi_bl;[Root.GetBloodlineName];x
braavosi_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Браавоса;x
lysene_bl;[Root.GetBloodlineName];x
lysene_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Лиса;x
qohorik_bl;[Root.GetBloodlineName];x
qohorik_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Квохора;x
norvosi_bl;[Root.GetBloodlineName];x
norvosi_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Норвоса;x
myrman_bl;[Root.GetBloodlineName];x
myrman_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Мира;x
tyroshi_bl;[Root.GetBloodlineName];x
tyroshi_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Тироша;x
volantene_bl;[Root.GetBloodlineName];x
volantene_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Волантиса;x
lorathi_bl;[Root.GetBloodlineName];x
lorathi_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Лората;x
gogossosi_bl;[Root.GetBloodlineName];x
gogossosi_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Гогоссоса;x
yunkaii_bl;[Root.GetBloodlineName];x
yunkaii_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Юнкая;x
meereenese_bl;[Root.GetBloodlineName];x
meereenese_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Миэрина;x
lhazareen_bl;[Root.GetBloodlineName];x
lhazareen_bl_desc;Дом [This.GetOnlyDynastyName] является одной из самых уважаемых родословных Лхазара;x
