#CODE;ENGLISH;x;;;
obj_become_regent_title;Стать регентом;x;;;
obj_become_regent_desc;[This.GetTitledFirstName] желает стать регентом [This.GetPossPronoun].;x;;;
plot_replace_regent_title;Заменить персонажа [Root.GetTitledFirstName] на посту регента.;x;;;
plot_replace_regent_desc;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] считает, что [From.GetSheHe] был[From.GetEndA] бы лучшим правителем, чем [Root.PlotTarget.GetTitledFirstNameWithDynastyAndTitleNoRegnal], и поэтому долж[From.GetNaEn] стать Регентом правителя, известного как [From.GetTitle] [From.Liege.PrimaryTitle.GetName];x;;;
plot_replace_regent_decision;Требование стать Регентом;x;;;
plot_replace_regent_decision_desc;Пришло время потребовать, чтобы [Root.Liege.GetTitle] [Root.Liege.GetFirstName] назвал[Root.Liege.GetEndA] вас своим назначенным регентом, место которого сейчас занимает [Root.PlotTarget.GetTitledFirstName].;x;;;
ambition_nominate_regent_decision;Просьба сделать Регентом;x;;;
ambition_nominate_regent_decision_desc;[Root.Liege.GetTitle] [Root.Liege.GetFirstName] в настоящее время не имеет назначенного регента, вы можете отправить [Root.Liege.GetHerHim] прошение, чтобы быть назначенным на эту должность.;x;;;
EVTTOOLTIPregency.17;Рассмотрит вашу просьбу о назначении регента;x;;;
plot_replace_regent_duel;Дуэль за регентство в земле [Root.PlotTarget.GetTitledFirstName];x;;;
plot_replace_regent_duel_desc;[Root.PlotTarget.GetTitledFirstName] по-прежнему регент персонажа [Root.Liege.GetTitle] [Root.Liege.GetFirstName], я должен бросить вызов [Root.PlotTarget.GetHerHim] на дуэль, чтобы решить, кто более достоин этой должности.;x;;;
plot_replace_regent_plead_case;Просит Ретентство;x;;;
plot_replace_regent_plead_case_desc;[Root.PlotTarget.GetTitledFirstName] явно недостойный регент для нашего правителя, известного как [Root.Liege.GetTitle] [Root.Liege.GetFirstName]. При достаточной поддержке вы сможете предоставить аргументы в пользу того, чтобы вас сделали регентом при [Root.PlotTarget.GetHerHis] дворе.;x;;;
plot_replace_regent_ultimatum;Послать ультиматум персонажу [Root.PlotTarget.GetTitledFirstName];x;;;
plot_replace_regent_ultimatum_desc;Военные действия всегда являются верным способом положить конец неудобному регенту, вы можете отправить ультиматум персонажу [Root.PlotTarget.GetTitledFirstName], для сложения полномочий Регента правителя [Root.Liege.GetTitle] [Root.Liege.GetFirstName], или столкнется с последствиями.;x;;;
EVTTOOLTIPregency.20;Ультиматум, требующий от персонажа [Root.PlotTarget.GetTitledFirstName] сложить полномочия регента;x;;;
EVTDESCregency.2;Могущественн[From.GetAyaYy] [From.GetFirstName] - великолепный выбор для регентства в случае моего конца. Все будут подчиняться [From.GetHerHis] приказам, и кто будет противостоять [From.GetHerHim], склонятся перед [From.GetHerHis] драконьим огнём!;x;;;
EVTOPTAregency.2;Я иногда удивляюсь своим идеям;x;;;
