#CODE;ENGLISH;x
nick_snow;Сноу;x
nick_rivers;Риверс;x
nick_stone;Стоун;x
nick_hill;Хилл;x
nick_flowers;Флауэрс;x
nick_storm;Шторм;x
nick_waters;Уотерс;x
nick_sand;Сэнд;x
nick_pyke;Пайк;x
EVTDESC76100;Это могло произойти во время долгой военной кампании, так кто же обвинит мужчину, за то, что какая-нибудь девка грела его постель по ночам? Несмотря на это, одна из таких девок родила ребёнка и утверждает, что он мой!;x
EVTOPTA76100;Дать ей золота, чтобы мой ребёнок ни в чём не нуждался;x
EVTOPTB76100;Обвинить её во лжи!;x
EVTOPTC76100;И что с того? Да она гордиться должна!;x
EVTOPTD76100;Я должен принять ребёнка в свою семью;x
EVTOPTE76100;Я оставлю ребёнка с его отцом;x
EVTDESC76102;При поездке по лесу я наткнулся на крестьянскую девку. Мне вспомнилось запрещенное теперь право первой ночи с простолюдинами. Хмм...;x
EVTOPTA76102;Нет, это нарушение закона;x
EVTOPTD76102;Нет, это вызовет волнения среди черни;x
EVTOPTB76102;Я конфискую имущество ее мужа за то, что они не известили о браке меня;x
EVTOPTC76102;Я использую свое право;x
EVTTOOLTIP76103;узнает о вашем проступке;x
EVTDESC76103;Ваш Знаменосец, [From.GetFirstNameWithDynasty], был замечен в использовании запрещенного права первой ночи. Что бы с ним сделать?;x
EVTOPTA76103;Оштрафовать и выругать его;x
EVTOPTB76103;Ха! Прекрасный старый обычай!;x
EVTOPTC76103;Это возмутительно. Арестовать его немедленно;x
EVTTOOLTIP76105;Выругать его;x
EVTDESC76104;Девка, которой я давненько воспользовался по праву первой ночи, пришла к воротам моего замка с ребёнком и утверждает, что он мой. Глаза у него, похоже, мои...;x
EVTOPTB76104;Повесить лживую девку!;x
EVTDESC76105;[Root.GetFirstNameWithDynasty], я был[From.GetEndA] уведомлен о вашем незаконном использовании права первой ночи в моих землях. Я приказываю вам выдать крестьянам компенсацию и предупреждаю вас на будущее.\n\n С уважением,,\n[From.GetFirstNameWithDynasty];x
EVTOPTA76105;Оно того стоило;x
EVTDESC76106;[Root.GetFirstNameWithDynasty], я был[From.GetEndA] уведомлен о вашем незаконном использовании права первой ночи в моих землях. Я помещаю вас под арест до решения мной вашей участи.\n\n С уважением,\n[From.GetFirstNameWithDynasty];x
EVTOPTA76106;*вздох*;x
took_illegal_first_night;Незаконно воспользовался правой первой ночи;x
ask_legitimize_bastard;Запрос на легитимизацию бастарда по имени [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];x
ask_legitimize_bastard_desc;Просить Короля признать бастарда по имени §Y[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal]§! как моего законного ребёнка...;x
EVTTOOLTIP76107;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] рассмотрит вашу просьбу;x
EVTDESC76107;[Root.PrimaryTitle.GetFOA], я покорнейше прошу признать меня как [FromFromFrom.GetSonDaughterACC] человека, известного как [bastard_father.GetTitledFirstName] [bastard_father.GetOnlyDynastyName], и законным членом Дома [bastard_father.GetOnlyDynastyName]. Я желаю подтверждения законного права на правление владением [FromFromFrom.PrimaryTitle.GetName].\n\n  С уважением,\n[FromFromFrom.GetTitledFirstNameWithNick];x
