#CODE;ENGLISH;x
b_kingharren1;Башня Королевский Костер;x
b_kingharren2;Вдовья Башня;x
b_kingharren3;Башня Ужаса;x
rebuilding_harrenhal;Восстановление Харренхолла;x
rebuilding_harrenhal_desc;Работы начаты.;x
debris0;Обломки вынесены.;x
debris1;Небольшая куча обломков;x
debris2;Средняя куча обломков;x
debris3;Гора обломков;x
hbuild1;Фундамент завершен;x
hbuild2;Фундамент и стены возведены;x
hbuild3;Постройка Замка завершена;x
ca_harrenhal_ruins;Руины Замка;x
completeharren1;Башня Королевский Костер восстановлена;x
completeharren2;Вдовья Башня восстановлена;x
completeharren3;Замок короля Харрена восстановлен;x
completeharren1_desc;Башня Королевский Костер теперь может иметь инфраструктуру.;x
completeharren2_desc;Вдовья Башня теперь может иметь инфраструктуру.;x
completeharren3_desc;Замок Короля Харрена полностью восстановлен.;x
goodstuff1;Работы в два раза быстрее.;x
goodstuff2;Работы в три раза быстрее.;x
goodstuff3;Работы в четыре раза быстрее.;x
goodstuff4;Работы в пять раз быстрее.;x
goodstuff5;Работы в шесть раз быстрее.;x
goodstuff6;Работы в семь раз быстрее.;x
badstuff1;Работы в два раза медленнее.;x
badstuff2;Работы в три раза медленнее.;x
badstuff3;Работы в четыре раза медленнее.;x
badstuff4;Работы в пять раз медленнее.;x
badstuff5;Работы в шесть раз медленнее.;x
badstuff6;Работы в семь раз медленнее.;x
HARRENHALPAYSTEWARD;Ваш Стюард получает деньги.;x
HARRENHALNOMONEY;Ваши действия замедляют восстановление.;x
HARRENHALMONEY;Ваши действия ускоряют восстановление.;x
HARRENHALBLOOD;Жертвоприношение крови снизит эффекты проклятия.;x
EVTDESCharrenhal.1;Теперь у вас достаточно ресурсов, чтобы начать восстановительные работы Замка Короля Харрена. Это будет длительный и дорогостоящий процесс, который продлится на протяжении поколений. Ваш[Root.GetEndA] [Root.GetMyTreasurerName] будет осуществлять надзор, чтобы ускорить процесс.;x
EVTOPTAharrenhal.1;Да! Я верну Херренхоллу его былую славу!;x
EVTOPTBharrenhal.1;Нет, это слишком дорого.;x
EVTDESCharrenhal.2;Во время надзора за строительством Замка Короля Харрена из ниоткуда срывается камень и приземляется вам на голову.;x
EVTOPTAharrenhal.2;Ох...;x
EVTDESCharrenhal.3;Во время надзора за строительством Замка Короля Харрена, [From.GetTitledFirstNameNoRegnal], Ваш[Root.GetEndA] [Root.GetMyTreasurerName], погиб[Root.GetNoneE] под градом обломков. Рабочие считают, что замок проклят.;x
EVTOPTAharrenhal.3;Я пошлю деньги [From.GetHerHis] ближайшим родственникам.;x
EVTOPTBharrenhal.3;Проклят? Не смешите меня;x
EVTDESCharrenhal.4;Вы наблюдаете за восстановлением Замка Короля Харрена, и видите какая это утомительная и неблагодарная работа. Я могу попросить, чтобы [Root.Liege.GetTitledFirstNameNoRegnal] предоставил[Root.Liege.GetEndA] больше людей и средств, если, конечно, мою просьбу сочтут справедливой.;x
EVTOPTAharrenhal.4;Да, мне нужно больше золота!;x
EVTOPTBharrenhal.4;Нет, я попрошу помощи тогда, когда она на самом деле потребуется;x
EVTDESCharrenhal.5;Во время надзора за строительством Замка Короля Харрена, [From.GetTitledFirstNameNoRegnal], Ваш[Root.GetEndA] [Root.GetMyTreasurerName], обнаружил[Root.GetEndA] огромные камни, сплавленные пламенем дракона, и [From.GetSheHe] сообщает, что что нужно больше денег на строительство.;x
TOOLTIPharrenhal.5;Вы попросили, чтобы [Root.Liege.GetTitledFirstNameNoRegnal] увеличил[Root.Liege.GetEndA] средства;x
EVTOPTAharrenhal.5;Хорошо, вот Вам еще золото, о котором просили.;x
EVTOPTBharrenhal.5;Ты лжешь!;x
EVTOPTCharrenhal.5;Вы отвечаете за строительство, а не я. Решите проблему самостоятельно.;x
EVTDESCharrenhal.6;Во время надзора за строительством Замка Короля Харрена, вы обнаружили огромные камни, сплавленные драконьим огнем. Вам нужно больше средств для строительства.;x
EVTOPTAharrenhal.6;Да, я попрошу, чтобы [Root.Liege.GetTitledFirstNameNoRegnal] выдал[Root.Liege.GetEndA] дополнительные средства;x
EVTDESCharrenhal.7;Во время надзора за строительством Замка Короля Харрена, [From.GetTitledFirstNameNoRegnal], Ваш[Root.GetEndA] [Root.GetMyTreasurerName], обнаружил[Root.GetEndA] огромные камни, сплавленные пламенем дракона, и [From.GetSheHe] сообщает, что нужно больше денег на строительство.;x
EVTOPTAharrenhal.7;Вот необходимые деньги, как вы просили.;x
EVTOPTBharrenhal.7;Ты лжешь!;x
EVTOPTCharrenhal.7;Вы отвечаете за строительство, а не я. Решите проблему самостоятельно.;x
EVTDESCharrenhal.8;Реставраторы разрушенных стен замка слышали стоны, доносящиеся из глубины. Странные тени ползут вверх по стенам, будто бы они живы, и лежа ночью в постели вы слышите молчание ягнят.;x
EVTOPTAharrenhal.8;Мне не страшно!;x
EVTOPTCharrenhal.8;Здесь нечего бояться;x
EVTOPTDharrenhal.8;Я очень устал от этого;x
EVTOPTEharrenhal.8;Это сводит меня с ума!;x
EVTOPTFharrenhal.8;Я нем могу выносить это так долго!;x
EVTOPTBharrenhal.8;Ночь темна и полна ужасов.;x
EVTOPTCharrenhal.8;Р'Глор поведет меня от тьмы к свету.;x
EVTDESCharrenhal.9;Значительный прогресс был достигнут. Часть обломков Замка Короля Харрена была удалена.;x
EVTOPTAharrenhal.9;Я постепенно возвращаю Харренхоллу его былую славу.;x
EVTOPTBharrenhal.9;Я постепенно возвращаю Харренхоллу его былую славу.;x
EVTOPTCharrenhal.9;Я постепенно возвращаю Харренхоллу его былую славу.;x
EVTDESCharrenhal.10;Слава о вашем успехе в восстановлении Харренхолла быстро распространяется Один из работников сообщил вам, что его предок участвовал в первом строительстве Замка и проклятие Короля Харрена было достигнуто путем добавления крови в раствор.;x
EVTOPTAharrenhal.10;Убить его, его жену, их детей и добавить кровь в раствор.;x
EVTOPTBharrenhal.10;Я принесу в жертву собственную кровь, чтобы снять проклятие.;x
EVTOPTCharrenhal.10;Чепуха. Это просто басни, возвращайся к работе.;x
EVTOPTDharrenhal.10;Возьмите пленных и перережьте им глотки!;x
EVTOPTEharrenhal.10;Добавить кровь рабов, как это сделал Харрен;x
EVTDESCharrenhal.11;У Короля Харрена были тысячи рабов, которые строили ему замок. Рабство вне закона в Вестеросе, но, может быть, использовать для работы заключенных? Это не рабство... технически. Верно?;x
EVTDESCharrenhal.11B;У Короля Харрена были тысячи рабов, которые строили ему замок. У меня тоже есть заключенные и рабы, которых можно принудить к этой работе!;x
EVTOPTAharrenhal.11;Послать заключенных на работы.;x
EVTOPTBharrenhal.11;Я никогда не запачкаю себя рабовладельчеством!;x
TOOLTIPharrenhal.12;Послав их на работу, где весьма высок риск для жизни, они возненавидели Вас;x
EVTDESCharrenhal.12;Ваш тюремщик поставил вас на работы по восстановлению Харренхолла.;x
EVTOPTAharrenhal.12;Я - раб!;x
EVTDESCharrenhal.13;Значительный прогресс был достигнут. Часть замка Древнего Короля Харрена была восстановлена.;x
EVTOPTAharrenhal.13;Фундамент для Замка был воздвигнут!;x
EVTOPTBharrenhal.13;Замковые стены были возведены!;x
EVTOPTCharrenhal.13;Строительство Замка завершено!;x
EVTDESCharrenhal.14;Годы строительства и расходов наконец дали результат. Узрите славный Харренхолл.;x
EVTOPTAharrenhal.14;Это великолепно!;x
EVTDESCharrenhal.21;[From.Holder.GetTitle] [From.GetName] частично отстроил[From.GetEndA] инфраструктуру замка на руинах. Но, к сожалению, они были разрушены из за состояния Башни.;x
EVTOPTAharrenhal.21;Я не повторю этого снова, пока башня не будет восстановлен.;x
EVTDESCharrenhal.22;Лорд Вдовьей Башнни частично отстроил инфраструктуру замка на руинах. Но, к сожалению, они были разрушены из за состояния Башни.;x
