#CODE;ENGLISH;x
widowed;Вдовствует;x
widowed_desc;Этот человек убит горем и скорбью после потери супруга.;x
EVTDESCwidowed.1;Мое горе слишком велико, чтобы поддержать этот брак...;x
EVTOPTAwidowed.1;...Я боюсь, что это должно закончиться.;x
WIDOWDESC;Время идет, но все происходящее вокруг кажется нереальным. [From.GetFirstName] покинул[From.GetEndA] меня и вся жизнь кажется фарсом. Я потерялся в этом море одиночества и не знаю куда себя деть.;x
WIDOWOPTA;Утопить себя в вине, женщинах и песнях;x
WIDOWTOOLTIPX;[Root.GetTitledFirstName] становится гедонистом, дуэлянтом, соколиным охотником или охотником.;x
WIDOWTOOLTIPA;[Root.GetTitledFirstName] вовлекает себя в пьяную ссору и проигрывает.;x
WIDOWTOOLTIPQ;[Root.GetTitledFirstName] повышает свое боевое искусство.;x
WIDOWOPTB;Уйти в чтение книг, песнопение и изучение мудрости других;x
WIDOWTOOLTIPB;[Root.GetTitledFirstName] бросает свои мирские титулы и становится Мейстером.;x
WIDOWTOOLTIPY;[Root.GetTitledFirstName] становится ученым, мистиком или поэтом;x
WIDOWTOOLTIPC;[Root.GetTitledFirstName] становится большого ума человеком;x
WIDOWTOOLTIPZ;[Root.GetTitledFirstName] теряет в боевом искусстве;x
WIDOWOPTC;Ищите утешение в руках другого;x
WIDOWOPTD;Это не имеет смысла. Я буду жить дальше;x
WIDOWTOOLTIPD;[Root.GetTitledFirstName] становится разгневанным, гордым, циничным, или жестоким;x
WIDOWTOOLTIPE;[Root.GetTitledFirstName] становится авторитетным или грубым;x
WIDOWTOOLTIPF;[Root.GetTitledFirstName] становится эгоистичным или упрямым;x
EVTDESCwidowed.5;Время идет, я чувствую, что старые раны заживают. Я могу оглянуться назад, но воспоминания уже не причиняют той боли.;x
EVTOPTAwidowed.5;Я могу дальше;x
WIDOWOPTE;[From.GetSheHeCap] все равно был[From.GetEndA] обманщи[From.GetTseyKom];x
killed_spouse;Супруга мертва;x
EVTDESCwidowed.7;М[From.GetOyaOy] [From.GetRootRelation] [From.GetTitledFirstName] скорбит по своей утрате [From.GetHusbandWifeOpp] уже больше года, и по-прежнему неохотно говорит о повторной свадьбе. Возможно, мне нужно приказать [From.GetHerHim] прекратить это и вступить в брак по моему выбору?;x
EVTOPTAwidowed.7;Прекрати эту чушь, [From.GetBoyGirl]!;x
TOOLTIPwidowed.8;Вы приказываете, чтобы [From.GetTitledFirstName] прекратил[From.GetEndA] траур и вступил[From.GetEndA] в повторный брак;x
EVTOPTBwidowed.7;Позволить [From.GetHerHim] скорбить в мире;x
EVTDESCwidowed.9;Хотя [From.GetSheHe] каза[From.GetLasLsya] вам огорченн[From.GetOyYm] и обиженн[From.GetOyYm] на приказ, ваш[From.GetEndA] [From.GetRootRelation] соглашается прекратить траур и вступить в повторный брак.;x
EVTOPTAwidowed.9;Хорошо;x
opinion_coerced_into_marriage;Принудительное вступление в повторный брак;x
EVTDESCwidowed.10;После горького и горячего спора, когда вы официально приказали [From.GetHerHim] прекратить траур, ваш[From.GetEndA] [From.GetRootRelation] по-прежнему отказывается от участия в повторном браке.;x
EVTOPTAwidowed.10;Возможно, мне придется принять решительные меры;x
opinion_refused_to_marry;Отказывается от повторного брака;x
opinion_tried_coerced_into_marriage;Принуждение к повторному браку;x
