#CODE;ENGLISH;x
job_castellan_moon_clansman;Вождь;x
job_marshal_moon_clansman;Первый воин;x
job_chancellor_moon_clansman;Глас Закона;x
job_treasurer_moon_clansman;Первый Торговец;x
job_spymaster_moon_clansman;Главный Разведчик;x
k_mountain_clans;Горные Кланы;x
k_mountain_clans_adj;Горнокланов;x
d_black_ears;Черноухие;x
d_burned_men;Обгорелые;x
RED_HAND;Краснорукие;x
d_milk_snakes;Молочные змеи;x
d_moon_brothers;Лунные Братья;x
d_painted_dogs;Раскрашенные Псы;x
d_sons_of_the_mist;Сыновья мглы;x
d_stone_crows;Каменные Вороны;x
empire_moon_clansman;Королевство;x
empire_of_moon_clansman;Королевство;x
emperor_moon_clansman;Верховный Король;x
emperor_female_moon_clansman;Королева;x
emperor_foa_moon_clansman;Мой Король;x
emperor_foa_female_moon_clansman;Моя Королева;x
king_foa_moon_clansman;Мой Король;x
king_foa_female_moon_clansman;Моя Королева;x
duchy_moon_clansman;Клан;x
duchy_of_moon_clansman;Клан;x
duke_moon_clansman;Вождь;x
duke_female_moon_clansman;Правительница;x
duke_foa_moon_clansman;Вождь;x
county_moon_clansman;Клан;x
county_of_moon_clansman;Клан;x
count_moon_clansman;Вождь;x
count_female_moon_clansman;Правительница;x
count_foa_moon_clansman;Вождь;x
looted_by_clansmen;Разграблен кланами;x
EVTDESCmountain_clans.2;У нас есть отчеты из региона [From.GetName], что члены горных кланов совершили набег. Небольшие деревни и фермы были разграблены, урожай и женщины украдены. Что вы собираетесь с этим делать?;x
EVTOPTAmountain_clans.2;Мы ничего не сможем сделать;x
EVTOPTBmountain_clans.2;[Root.job_marshal.GetTitledFirstName], отправляйтесь в путь и убейте бандитов.;x
TOOLTIPmountain_clans.3;[This.GetTitledFirstName] должен вести армию, дабы разгромить кланы;x
EVTOPTCmountain_clans.2;Я и мои рыцари разгромят врага!;x
EVTOPTDmountain_clans.2;Мой родственник удостоился чести разогнать бандитов;x
TOOLTIPmountain_clans.4;Вы лично возглавили армию;x
EVTDESCmountain_clans.3;Горные кланы совершили набег на земли вашего вассала, пострадал[From.GetEndA] [From.GetTitledFirstName] из области [FromFrom.GetName], похоже многие деревни были разграблены. [From.GetTitledFirstName] приказал[From.GetEndA] выследить их и уничтожить.;x
EVTOPTAmountain_clans.3;Я разгромил их, [From.PrimaryTitle.GetFOA];x
EVTDESCmountain_clans.4;Небольшой отряд рыцарей собран, чтобы отправиться в регион [FromFrom.GetName] и покорить дикие кланы. Они все выстраиваются позади вас в строю и гордо следуют за вами из ворот.;x
EVTOPTAmountain_clans.4;Мы принесем мир;x
EVTDESCmountain_clans.5;Кланы и близко не стояли с нашими рыцарями, вооруженными кованым стальным оружием и броней. Мы успешно перехватили многие рейдовые группы, приструнив их мечом с минимальными потерями. Кланы были изгнаны из этого района, и крестьяне могут снова жить в мире.;x
clansmen_subdued;Кланы подавлены;x
EVTOPTAmountain_clans.5;Эти дикари не вернутся в близжайшее время;x
TOOLTIPmountain_clans.7;[This.GetTitledFirstName] удовлетворен[This.GetEndA];x
EVTDESCmountain_clans.6;Несмотря на превосходную подготовку и снаряжение, мы просто не смогли выследить кланы. Всякий раз, когда мы сталкивались с рейдерским отрядом, они быстро растворялись в горах и, в свою очередь, устраивали засады на наших людей, убивая многих и захватывая пленников, которых, несомненно, больше не увидим.;x
EVTOPTAmountain_clans.6;Они - ЧУМА этой земли;x
TOOLTIPmountain_clans.8;[This.GetTitledFirstName] разочарован[This.GetEndA];x
EVTDESCmountain_clans.7;[From.GetRootRelation] [From.GetTitledFirstName] и [From.GetHerHis] рацыри значительно превосходят кланы. [From.GetSheHeCap] успешно перехватил множество рейдерских отрядов, приструнив их мечом с минимальными потерями. Кланы были изгнаны из этого района, крестьяне могут снова жить в мире.;x
EVTOPTAmountain_clans.7;Отличная работа, [From.GetTitledFirstName];x
EVTDESCmountain_clans.8;[From.GetTitledFirstName] и [From.GetHerHis] рыцари потерпели неудачу, они не смогли выследить кланы. Всякий раз, когда [From.GetSheHe] встречал рейдерскую группу, они быстро и бесследно разбегались в горах, и в свою очередь, они устраивали засады на людей, убив многих и захватывая пленников, которых, несомненно, мы больше не увидим.;x
