#CODE;ENGLISH;x
house_customizer;Дом Разработчика;x
house_customizer_desc;Вы можете использовать эту черту, чтобы выбрать имя и герб любого существующего дома, либо одного из вымерших домов. Если Вы возьмете черту признанного бастарда, то тогда сможете определить степень родства и дополнительно определить младший дом династии.\n\n§RВАЖНОЕ ПРИМЕЧАНИЕ:§! из-за игровых ограничений движка, §Yкочевые§! персонажи не могут быть использованы в чертах дома разработчика;x
customizer_targaryen;Дом Таргариенов;x
customizer_targaryen_desc;Вы Таргариен из Старой Валирии от крови дракона, потомок Короля Эйгона Завоевателя, объединившего под своей властью все Семь Королевств и выковавшего Железный трон.;x
customizer_stark;Дом Старков;x
customizer_stark_desc;Вы Старк из Винтерфелла, Хранитель Севера. Вы восходите корнями к Брандону Строителю, первому королю Севера. Именно он построил Стену и спас нас от ужасов Долгой ночи.;x
customizer_greyjoy;Дом Грейджоев;x
customizer_greyjoy_desc;Вы Грейджой из Пайка, Лорд Железных островов. Вы ведете свой род от Серого Короля, первого короля Железных Островов. Победив морского дракона Наггу, он построил свой замок из его останков, который обогревал с помощью его пламени.;x
customizer_tully;Дом Талли;x
customizer_tully_desc;Вы Талли из Риверрана, Верховный Лорд Трезубца. Ваш род восходит к Эдмину Талли, предавшего короля Харрена Чёрного и поддержавшего Эйгона Завоевателя, наградившего, в итоге, Эдмина Речными землями;x
customizer_arryn;Дом Арренов;x
customizer_arryn_desc;Вы Аррен из Орлиного Гнезда, Хранитель Востока и Защитник Долины. Вы ведете свой род от Крылатого Рыцаря Артиса Аррена, который, оседлав громадного сокола, взлетел на вершину Копья Гиганта, убил Короля Грифона и принёс в Вестерос Семибожие.;x
customizer_lannister;Дом Ланнистеров;x
customizer_lannister_desc;Вы Ланнистер с Утёса Кастерли, Страж Запада и Щит Ланниспорта. По женской линии ваш род восходит к Ланну Умному,  шуту, по легенде изгнавшему род Кастерли из их замка одной только хитростью и короновавшего себя.;x
customizer_tyrell;Дом Тиреллов;x
customizer_tyrell_desc;Вы Тирелл из Хайгардена, верховный маршал Простора и Хранитель Юга. По женской линии ваш род восходит к Гарту Зеленорукому, самому первому королю Простора. Ваша семья тысячелетиями служила роду Гарденеров стюардами, а Эйегон Завоеватель наградил Тиреллов за верность властью над Простором.;x
customizer_baratheon;Дом Баратеонов;x
customizer_baratheon_desc;Вы Баратеон из Штормового предела, Верховный Лорд Штормовых земель. Вашим предком является Орис Баратеон, сводный брат Эйгона Таргариена и один из его лучших полководцев, лично убивший старого Штормового Короля по имени Аргилак Надменный и взявшего его дочь в жёны.;x
customizer_martell;Дом Мартеллов;x
customizer_martell_desc;Вы Нимерос-Мартелл, Принц Дорна. Ваш род восходит к Нимерии, Королеве-Воительнице, которая, после поражения в Старой Валирии, увела последних Ройнаров через Узкое море осваивать новые земли Вестероса.;x
customizer_reyne;Дом Рейнов;x
customizer_reyne_desc;Вы Рейн из Кастамаре, старый и могущественный дом, второй по силе род Западных земель, уступающий лишь Ланнистерам.;x
customizer_tarbeck;Дом Тарбеков;x
customizer_tarbeck_desc;Вы Тарбек из Тарбекхолла, один из старейших и величайших лордов Западных земель.;x
customizer_blackfyre;Дом Блэкфайров;x
