#CODE;ENGLISH;;;;;;;;;;;;;x
WARNING: SPOILERS ARE IN THIS FILE;;;;;;;;;;;;;;x
EVTDESCtower_of_joy.1;Сестра Неда Старка, Лианна, была похищена Рейгаром Таргариеном, его старший брат и отец были жестоко убиты выжившим из ума королем Эйрисом. Роберт Баратеон поднял восстание и призывает нас присоединиться…;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.1;Конечно;;;;;;;;;;;;;x
EVTOPTBtower_of_joy.1;Он может обойтись без меня;;;;;;;;;;;;;x
EVTDESCtower_of_joy.2;Сестра Неда Старка, Лианна, была похищена Рейгаром Таргариеном, его старший брат и отец были жестоко убиты выжившим из ума королем Эйрисом. Поэтому он последовал за Робертом Баратеоном, и во время войны я стал одним из его близких друзей. Дам ли я клятву сделать что угодно, но спасти Лианну?;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.2;Да, я сделаю это!;;;;;;;;;;;;;x
EVTOPTBtower_of_joy.2;Звучит слишком рискованно;;;;;;;;;;;;;x
EVTDESCtower_of_joy.299;Во время войны против Таргариенов, [From.GetTitledFirstNameWithDynasty] стал близким другом. [From.GetSheHeCap] дал мне клятву и пообещал помочь спасти Лианну из рук Рейгара Таргариена.;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.299;Мне нужны такие благородные люди, как вы;;;;;;;;;;;;;x
EVTDESCtower_of_joy.3;Принц Рейгар попросил вас защитить леди Лианну в Башне Радости...;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.3;Как любопытно…;;;;;;;;;;;;;x
EVTNAMEtower_of_joy.5; Башня Радости;;;;;;;;;;;;;x
EVTDESCtower_of_joy.5;Война закончилась, однако Лианна Старк все еще заключена в Башне Радости...\n\nКогда он приблизился к башне, люди Неда поднялись вместе с ним. Их было семеро против трех. 'Все только начинается', - сказал Сир Эртур Дейн, Меч Зари. Он обнажил Рассвет и взял его обеими руками. Лезвие было бледным, как молоко. 'Нет' - ответил Нед с грустью в голосе, - 'Сейчас все закончится'.;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.5;Это положит конец кровопролитию…;;;;;;;;;;;;;x
TOOLTIPTOJCOMPANION;[This.GetFirstNameWithDynasty] сопровождает вас в башню\n;;;;;;;;;;;;;x
TOOLTIPTOJKINGSGUARD;[This.GetTitledFirstNameWithDynasty] из Королевской гвардии стоит на вашем пути\n;;;;;;;;;;;;;x
EVTDESCtower_of_joy.6;Война закончилась, и теперь [From.GetFirstNameWithDynasty] стоит рядом со мной у Башни радости, желая спасти свою сестру Лианну. Еще три рыцаря королевской гвардии стоят перед нами, [duel_me_kingsuard.GetTitledFirstName] [duel_me_kingsuard.GetOnlyDynastyName] выбрал меня и пошел в атаку!;;;;;;;;;;;;;x
EVTDESCtower_of_joy.6B;Много моих друзей уже пало от мечей Королевской гвардии, и теперь [duel_me_kingsuard.GetTitledFirstName] [duel_me_kingsuard.GetOnlyDynastyName] атакует меня...;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.6;За Винтерфелл!;;;;;;;;;;;;;x
EVTTOOLTIPtower_of_joy.7;встретит вас в единоборстве;;;;;;;;;;;;;x
EVTDESCtower_of_joy.7;Нед Старк и его спутники приближаются к башне, мы поклялись защитить тех, кто находится внутри...;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.7;Мы победим…;;;;;;;;;;;;;x
EVTDESCtower_of_joy.8;[From.GetFirstNameWithDynasty] побеждает своего противника, известного как [FromFrom.GetTitledFirstNameWithDynasty]!;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.8;Он умер с честью;;;;;;;;;;;;;x
EVTDESCtower_of_joy.9;[From.GetFirstNameWithDynasty] убивает своего противника, известного как [FromFrom.GetTitledFirstNameWithDynasty]!;;;;;;;;;;;;;x
EVTDESCtower_of_joy.999;После ожесточенного боя защитники башни были убиты. Сейчас [From.GetFirstName] собирается войти в башню, и вернуть свою семью...;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.999;Они умерли с честью;;;;;;;;;;;;;x
EVTDESCtower_of_joy.10;После ожесточенного боя многие мои товарищи убиты. Я приказал разобрать башню на камни, чтобы сделать могилы для моих погибших спутников и наших врагов. К счастью, Лианна жива и здорова.;;;;;;;;;;;;;x
EVTOPTBtower_of_joy.10;Хвала Богам;;;;;;;;;;;;;x
EVTDESCtower_of_joy.11;После ожесточенного боя многие мои товарищи убиты. Я приказал разобрать башню на камни, чтобы сделать могилы для моих погибших спутников и наших врагов. К несчастью, Лианна мертва, все было напрасно.;;;;;;;;;;;;;x
EVTOPTBtower_of_joy.11;Сейчас она вместе с Брандоном и отцом…;;;;;;;;;;;;;x
EVTDESCtower_of_joy.12;После ожесточенного боя многие мои товарищи убиты. Я приказал разобрать башню на камни, чтобы сделать могилы для моих погибших спутников и наших врагов. К счастью, Лианна жива и здорова, и все было не напрасно.;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.12;Хвала Богам;;;;;;;;;;;;;x
EVTDESCtower_of_joy.13;После ожесточенного боя многие мои товарищи убиты. Я приказал разобрать башню на камни, чтобы сделать могилы для моих погибших спутников и наших врагов. К несчастью, Лианна мертва, мы опоздали.;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.13;Сейчас она вместе с Брандоном и отцом…;;;;;;;;;;;;;x
EVTTOOLTIPtower_of_joy.10;Бой закончен, теперь можно войти в башню...;;;;;;;;;;;;;x
opinion_coward_TOJ;Трус;;;;;;;;;;;;;x
opinion_companion_TOJ;Спутник;;;;;;;;;;;;;x
EVTDESCtower_of_joy.15;Неду Старку удалось спасти Лианну из лап Рейгара Таргариена и королевских телохранителей в Башне Радости. Однако, оказалось, что у Лианны и Принца есть плод их любви!;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.15;Какое разочарование…;;;;;;;;;;;;;x
EVTOPTBtower_of_joy.15;Я не могу любить ее теперь;;;;;;;;;;;;;x
EVTDESCtower_of_joy.16;Радостная новость! Моя возлюбленная Лианна была спасена из башни Радости Недом Старком и его спутниками. Многие погибли в том числе и Королевские гвардейцы, которые были там, но она теперь в безопасности...;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.16;Война была не напрасной!;;;;;;;;;;;;;x
EVTDESCtower_of_joy.17;Лианна Старк трагически погибла в Башне Радости, несмотря на все усилия Неда Старка спасти ее. Кажется, что смерти его товарищей и Королевских гвардейцев были напрасными, особенно видя, что у Рейгара и Лианны есть ребенок, которого забрал Нед.;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.17;Какая боль, все было сделано впустую...;;;;;;;;;;;;;x
EVTOPTBtower_of_joy.17;Это величайшая трагедия!;;;;;;;;;;;;;x
EVTDESCtower_of_joy.18;Лианна Старк трагически погибла в Башне Радости, несмотря на все усилия Неда Старка спасти ее. Кажется, что смерти его товарищей и Королевских Гвардейцев были напрасными.;;;;;;;;;;;;;x
EVTDESCtower_of_joy.20;Война была долгой и трудной, и кроме всех моих лишений, под мою опеку попал внебрачный ребенок...;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.20;Я приму его, как собственного ребенка;;;;;;;;;;;;;x
EVTDESCtower_of_joy.19;Меня и моих товарищей по Королевской Гвардии побеждают Нед Старк и его товарищи, мы должны защитить леди Лианну немедля...;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.19;Моя клятва заставляет меня;;;;;;;;;;;;;x
EVTDESCtower_of_joy.21;Печальные новости, Неда и его спутников  победил у Башни Радости сир [From.GetFirstNameWithDynasty] и его товарищи по Королевской гвардии. Моя возлюбленная Лианна была увезена за Узкое море...;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.21;Какая боль…;;;;;;;;;;;;;x
EVTDESCtower_of_joy.22;Вот я и в Пентосе;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.22;Это не так уж плохо;;;;;;;;;;;;;x
EVTTOOLTIP76101;возмущен;;;;;;;;;;;;;x
EVTDESCtower_of_joy.23;Нед, бесчестье Леди Лианны, приведшее к рождению ребенка Принца Рейгара - это уж слишком. Моя любовь к ней не может быть такой же, как раньше, следовательно, мой брак с ней будет аннулирован немедленно.\n\nС уважением,\nРоберт;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.23;Какое разочарование;;;;;;;;;;;;;x
EVTDESCtower_of_joy.240;Славная битва закончилась, вы пришпориваете вашу лошадь и скачите, как сумасшедший, в течение нескольких дней к Башне Радости в Красных горах Дорна. По прибытию двор странно молчит, несколько слуг очень осторожны. Когда вы спешились - кровь ваших побежденных врагов до сих пор на вашей прекрасной кирасе - ваши три Белых Рыцаря вышли и поклонились вам, вы смотрите на их лица строго и величественно. Внезапно, торжество вашей блестящей победы уступает место волнению, интересно, какие новости ожидают вас в вашем любовном гнездышке...;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.240;Я должен войти в башню...;;;;;;;;;;;;;x
EVTDESCtower_of_joy.24;Вы входите в покои в спешке с замиранием сердца: Леди Лианна находится в постели, кормя ребенка своей грудью. Она прекрасна, как всегда. Она смотрит на вас и улыбается, ее голубые глаза наполнены радостью, гордостью и любовью, и смотрит на вас с надеждой...;;;;;;;;;;;;;x
EVTDESCtower_of_joy.25;Сир Освелл Уэнт с серьезным взглядом молча ведет вас внутрь башни. Вы входите в помещение, частично затемненное, и на мгновение вы отшатнулись от сильного запаха... крови. Леди Лианна находится в кровати, постельное белье запятнано, лепестки розы, рассеянные вокруг нее темны и высохшие. Она тихо рыдает своими лихорадочными глазами. Ее голос тонкий, больной, напряженный, но ее взгляд по-прежнему жесткий: 'Мертв. Наш бедный, прекрасный ребенок... умер'.;;;;;;;;;;;;;x
EVTDESCtower_of_joy.26;Вы подходите к вашим рыцарям, все больше и больше волнуясь. Старый Сир Освелл Уэнт смотрит вам прямо в глаза, с намеком на печаль вместо своей обычной торжественности: 'Леди Лианна Старк умерла два дня назад, Ваше Высочество. К сожалению, Мейстер Клаудин ничем не смог помочь спасти ее от такой сильной кровопотери'. Сир Герольд Хайтауэр подаёт Вам плачущего ребенка...;;;;;;;;;;;;;x
EVTDESCtower_of_joy.27;Сир Освелл Уэнт с серьезным взглядом молча ведет вас внутрь башни. Вы входите в помещение, частично затемненное, и на мгновение вы отшатнулись от сильного запаха... крови. Леди Лианна находится в кровати, постельное белье запятнано, лепестки роз, рассеянные вокруг нее  темные и пожухшие. Она тихо плачет лихорадочными глазами. Ее голос тонкий, больной, напряженный, но ее взгляд по-прежнему жесткий: 'Мертв. Наш бедный, прекрасный ребенок... умер'. Вы понимаете с возрастающим ужасом, что Леди Лианна все еще в крови. Мейстер Клаудин, рядом с ней, смотрит на вас и молча качает головой. Вы держите руку Леди Старк, некогда лютый свет в ее глазах понемногу угасает.;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.24;Это безумие должно прекратиться, отправить их домой;;;;;;;;;;;;;x
EVTOPTBtower_of_joy.24;Из-за них много хлопот, я буду дальше удерживать их здесь;;;;;;;;;;;;;x
EVTOPTCtower_of_joy.24;Я буду заботиться о моей возлюбленной и ее ребенке;;;;;;;;;;;;;x
EVTOPTDtower_of_joy.24;Она должна стать моей Королевой!;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.25;Это безумие должно прекратиться, отправить ее домой;;;;;;;;;;;;;x
EVTOPTBtower_of_joy.25;Из-за нее много хлопот, я пока буду дальше удерживать ее здесь;;;;;;;;;;;;;x
EVTOPTCtower_of_joy.25;Я буду заботиться о моей возлюбленной;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.26;Он должен быть выращен на Севере, в доме Лианны;;;;;;;;;;;;;x
EVTOPTBtower_of_joy.26;Ребенок должен умереть ради Дома Таргариен и всего Королевства;;;;;;;;;;;;;x
EVTOPTCtower_of_joy.26;Я воспитаю его, как своего собственного, я в долгу перед моей возлюбленной;;;;;;;;;;;;;x
EVTOPTDtower_of_joy.26;Она была моей истинной Королевой, и он моим законным сыном!;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.27;Ее тело должно быть доставлено в Винтерфелл;;;;;;;;;;;;;x
EVTOPTBtower_of_joy.27;Я не могу вынести этого, похороните ее рядом с Башней;;;;;;;;;;;;;x
TOOLTIPTOJCHILDIMPRISON;Ребенок Лианны должен быть упрятан в темнице\n;;;;;;;;;;;;;x
TOOLTIPTOJCHILDKILL;Ребенок Лианны должен быть убит\n;;;;;;;;;;;;;
TOOLTIPTOJSENDHOME;Ребенок Лианны не будет признан и будет отправлен в Винтерфелл\n;;;;;;;;;;;;;x
TOOLTIPTOJSENDHOMEDEAD;Ребенок Лианны не будет признан и будет отправлен в Винтерфелл вместе с ее телом\n;;;;;;;;;;;;;x
TOOLTIPTOJACKNOWLEDGE;Ребенок Лианны будет признан вашим узаконенным бастардом и будет жить при вашем дворе\n;;;;;;;;;;;;;x
TOOLTIPTOJTRUEBORN;Ребенок Лианны будет признан вашим законным сыном\n;;;;;;;;;;;;;x
EVTDESCtower_of_joy.28;Эта кровавая война принесла достаточно страданий Королевству, чтобы позволить мне далее следовать зову моего сердца. Я должен вернуться к моей супруге, леди Элии Мартелл, и к моему Железному Трону. Леди Лианна, моя сладкая северная роза, вы должны вернуться к своей семье. Сер Эртур Дейн, Меч Зари, будет сопровождать вас в Винтерфелл.;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.28;Я буду скучать по ней;;;;;;;;;;;;;x
EVTDESCtower_of_joy.29;Эта кровавая война принесла достаточно страданий Королевству, чтобы позволить мне далее следовать зову моего сердца. Я должен вернуться к моей супруге, леди Элии Мартелл, и к моему Железному Трону. Сир Освелл заключит вас под арест, но с соблюдением всех удобств для вас.;;;;;;;;;;;;;x
EVTOPTAtower_of_joy.29;Я решу позже, что делать с ней…;;;;;;;;;;;;;x
