#CODE;ENGLISH;x
EVTDESCwords_events.1;Проезжая через горный перевал с небольшой свитой, я замечаю некоторых воинов местного клана. Один из моих знаменосцев выступает, как соски на нагруднике, развевая ярко голубое знамя Дома Арренов. Я решаю...:;x
EVTOPTAwords_events.1;Оставить знамя развеваться и продвигаться дальше, как люди дома Высоких как Честь;x
EVTOPTBwords_events.1;Сохранить знамя, но оставить его в конце колонны.;x
EVTOPTCwords_events.1;Бросить знамя и подождать пока пройдут члены клана.;x
EVTDESCwords_events.2;Ваш сюзерен бросил вас во главе движущейся колонны, с горными кланами повсюду!;x
EVTOPTAwords_events.2;Трус, они всего лишь дикари!;x
TOOLTIPwords_events.2;останется во главе колонны;x
EVTDESCwords_events.3;Я и мои знаменосцы присутствовали на военном совете, когда один из моих вассалов предложил провести мирные переговоры с врагом! Неужели Ланнистеры так легко сдаются?;x
EVTOPTAwords_events.3;Трус! Услышь мой рев!;x
EVTOPTBwords_events.3;Мир? Принесите [Root.GetAlcoholicDrink] этому господину!;x
EVTOPTCwords_events.3;Я просто улыбнусь и вежливо кивну;x
EVTDESCwords_events.4;Мой господин, [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] проводит военный совет, когда я вполне разумно предлагаю, что мы, возможно, должны начать мирные переговоры с врагом, [From.GetSheHe] реагирует довольно сердито и выкидывает меня с военного совета! [From.GetSheHeCap] вопит: 'Услышь мой рев', когда я поспешно удаляюсь.;x
EVTOPTAwords_events.4;Как унизительно;x
TOOLTIPwords_events.4;покинет военный совет;x
EVTDESCwords_events.5;Земли Простора известны всем своей плодородностью. Последний урожай уже подоспел, и он, возмоджно, будет лучше, чем ожидалось!;x
EVTOPTAwords_events.5;Вырастая - Крепнем! Обкладывай их налогом полностью!;x
EVTOPTBwords_events.5;Пусть простолюдины сохранят достаточно запасов на зиму;x
EVTDESCwords_events.6;Один из моих знаменосцев начал обрабатывать зерно за моей спиной после некоторых особенно плохих уловов. В то время как его люди, несомненно, менее голодны, Старый Закон запрещает…;x
EVTOPTAwords_events.6;Мы не сеем!;x
EVTOPTBwords_events.6;Старый Закон мертв. Признайте это.;x
EVTOPTCwords_events.6;Игнорировать.;x
EVTDESCwords_events.7;Наши уловы рыбы были довольно низкими в последнее время, поэтому я придумал схему, чтобы начать обрабатывать землю. Это хорошо накормило простой люд, но [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] злится, говоря, что это не по Старому Закону, и что мне нужно немедленно прекратить.;x
EVTOPTAwords_events.7;Этот путь безумен;x
TOOLTIPwords_events.7;прекратит затею возделывания;x
EVTDESCwords_events.8;Холмы и горы Запада известны своими богатыми запасами золота и серебра. Мы обнаружили новый пласт, который, по-видимому, может дать много драгоценного металла. Должны ли мы построить новую шахту?;x
EVTOPTAwords_events.8;Золото и серебро гарантировано;x
EVTOPTBwords_events.8;Это просто глупость;x
TOOLTIPwords_events.8POOR;Шахта окажется провалом\n;x
TOOLTIPwords_events.8AVERAGE;Шахта будет успешной\n;x
TOOLTIPwords_events.8GOOD;В шахте добудется много золота\n;x
TOOLTIPwords_events.8GREAT;Шахта будет ошеломительно успешной\n;x
opinion_humliated;Унижение;x
opinion_banned_from_sowing;Прекраащение Возделывания;x
EVTDESCwords_events.9;Шахта стала катастрофой. Многие люди, строящие ее, либо лишились жизни, либо конечностей, и шахтеры не смогли даже найти подходящую руду, после того как строительство шахты было закончено. Доходы оказались намного ниже ожидаемых;x
EVTOPTAwords_events.9;Какой фарс;x
EVTDESCwords_events.10;Шахтеры трудились тяжело и быстро, и им удалось собрать значительное количество руды, но этого оказалось недостаточно, чтобы назвать месторождение прибыльным предприятием. Тем не менее, люди восхищаются возможностями.;x
EVTOPTAwords_events.10;Ну хотя бы я ничего не потерял;x
EVTDESCwords_events.11;Шахта однозначно окупилась. Шахтеры добыли много руды, и теперь у нас хорошая куча золота!;x
EVTOPTBwords_events.11;Кажется, Ланнистеры действительно срут золотом!;x
EVTDESCwords_events.12;Хорошие новости! Добыча в шахте принесла настоящую гору золота в нашу казну! Шахтеры поднимали золото днем и ночью, и все согласились, что это был один из лучших пластов, которые видел любой шахтер!;x
EVTOPTAwords_events.12;Хорошая работа, ребята!;x
