#CODE;ENGLISH;x
hold_an_archery_tournament;Провести турнир лучников;x
hold_an_archery_tournament_desc;Провести турнир лучников;x
TOOLTIParchery.500;Все способные дворяне и стрельцы из вашей вотчины должны быть приглашены\n;x
EVTDESCarchery.500;Сообщения дворянам и лучникам государства [Root.PrimaryTitle.GetName] были разосланы и уведомлены о турнире в городе [Root.Capital.GetName]. Все участники соберутся в течении месяца и будут соревноваться за право считаться лучшим.;x
EVTDESCarchery.1;[Root.GetTitledFirstName], я приглашаю вас в город [From.Capital.GetName], где состоится турнир лучников и у вас будет шанс доказать, что вы лучший лучник во всей стране [From.PrimaryTitle.GetName].\n\nС уважением\n[From.GetTitledFirstNameWithDynasty];x
EVTOPTDarchery.1;Хватит мне сообщать о детских забавах;x
EVTDESCarchery.2;Наконец, турнир начался. Каждый лучник начинает с горсткой стрел и набирает баллы. Участники с самыми высокими баллами попадут в финальные раунды по стрельбе.;x
EVTOPTAarchery.2;Удачи всем вам;x
EVTOPTBarchery.2;Я хочу знать о каждом раунде;x
TOOLTIPEVTOPTBarchery.2;Вы будете проинформированы о всех финальных раундах.;x
EVTDESCarchery.3;К сожалению, из-за войны, [From.GetTitledFirstName] [From.GetDynastyOnlyName] вынужден[From.GetEndA] отменить турнир.;x
EVTDESCarchery.8;Стрельбы начались, и у вас есть шанс попасть в финальные раунды. Вы поразили некоторые цели, но не смогли набрать достаточно очков.;x
EVTOPTAarchery.8;Я буду лучш[GetEyIm] в следующий раз;x
EVTDESCarchery.9;Первый раунд окончен. Теперь у нас есть список лучников, которые сойдутся в трех стрелковых матчах и определят победителя.;x
EVTOPTAarchery.9;Все они способные стрелки;x
TOOLTIParchery.10;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] прош[This.GetNoneE] в финальные раунды;x
EVTDESCarchery.10;Турнир начался, и у вас есть шанс попасть в финальные раунды. Вы уверенно поражали цели и набрали достаточное количество очков. Вы будете соревноваться в финальных матчах.;x
EVTOPTAarchery.10;Я в хорошей форме;x
EVTDESCarchery.13;В следующем раунде вы и [From.GetTitledFirstNameWithDynasty] выступаете вместе. Стоя рядом, вы оба прицелились и готовы сделать первый выстрел...;x
EVTOPTAarchery.13;Внимание...;x
TOOLTIParchery.14;Первый раунд был начат;x
EVTDESCarchery.14;В следующем раунде вы и [From.GetTitledFirstNameWithDynasty] выступаете вместе. Стоя рядом, вы оба прицелились и готовы сделать первый выстрел...;x
EVTOPTAarchery.14;Внимание...;x
EVTDESCarchery.16;Ваша стрела поразила цель ближе к центру, нежели стрела вашего оппонента. Раунд отдан вам.;x
EVTOPTAarchery.16;Хороший выстрел;x
EVTDESCarchery.17;Ваш оппонент поразил цель ближе к центру, нежели вы. Раунд отдан ему.;x
EVTOPTAarchery.17;Виноват порыв ветра, клянусь;x
EVTDESCarchery.18;Ваш оппонент не в состоянии продолжать участие и вы автоматически побеждаете в этом раунде.;x
EVTOPTAarchery.18;Победа есть победа;x
EVTDESCarchery.20;Цель упала на землю, вы и [From.GetTitledFirstName] пускаете еще по одной стреле...;x
EVTOPTAarchery.20;Внимание...;x
TOOLTIParchery.21;Начинается следующий раунд;x
EVTDESCarchery.21;Цель упала на землю, вы и [From.GetTitledFirstName] пускаете еще по одной стреле...;x
EVTOPTAarchery.21;Внимание...;x
EVTDESCarchery.23;Вы выиграли второй раунд против персонажа [From.GetTitledFirstNameWithDynasty] и взяли верх! ;x
EVTOPTAarchery.23;Моя стрельба великолепна;x
EVTDESCarchery.24;Последней стрелой [From.GetTitledFirstNameWithDynasty] выиграл[From.GetEndA] во втором раунде и победил[From.GetEndA] вас. Вы выбываете из турнира.;x
EVTOPTAarchery.24;Я выиграю в следующий раз;x
EVTDESCarchery.25;В последних раундах финальных матчей вашего турнира [From.GetTitledFirstNameWithDynasty] победил[From.GetEndA] персонажа [FromFrom.GetTitledFirstNameWithDynasty], заработав больше очков своей стрельбой.;x
EVTOPTAarchery.25;Молодец!;x
EVTDESCarchery.26;Начат финальный матч между персонажами [From.GetTitledFirstNameWithDynasty] и [FromFrom.GetTitledFirstNameWithDynasty]. В итоге, [From.GetTitledFirstName] стрелял[From.GetEndA] более меткко, и он стал победителем турнира!;x
EVTOPTAarchery.26;Поздравляю!;x
