#CODE;ENGLISH;x
EVTOPTBred_priest.3;Меня это не беспокоит;x
EVTDESCred_priest.12;[From.GetFirstNameWithDynasty] благословил[From.GetEndA] меня и даровал[From.GetEndA] защиту в битве. Быть может, Владыка Света реален?;x
EVTDESCred_priest.13;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] приближается ко мне и спрашивает, не хочу ли я вылечить мои недуги. Все, что мне нужно сделать - поверить в Красного Бога.;x
EVTDESCred_priest.13B;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] приближается ко мне и спрашивает, не хочу ли я вылечить мои недуги. Все, что мне нужно сделать - принять путь Колдунов;x
EVTDESCred_priest.13C;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] приближается ко мне и спрашивает, не хочу ли я вылечить мои недуги магией крови. Все, что мне нужно сделать - принять божество [FromFrom.Religion.GetHighGodName] религии [FromFrom.Religion.GetName].;x
EVTOPTAred_priest.13;Да, я верую во Владыку Света;x
EVTOPTAred_priest.13B;Да, я испытаю силу этих колдунов;x
EVTOPTAred_priest.13C;Да, я проверю силу этой магии крови;x
EVTOPTBred_priest.13;Нет, я не стану подвергать себя этому. Уйди.;x
EVTDESCred_priest.14;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] приближается ко мне и спрашивает, не хочу ли я вылечить свои болезни и уродства. Все, что мне нужно сделать - поверить в Красного Бога.;x
EVTDESCred_priest.14B;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] приближается ко мне и спрашивает, не хочу ли я вылечить свои болезни и уродства. Все, что мне нужно сделать - принять путь колдунов;x
EVTDESCred_priest.14C;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] приближается ко мне и спрашивает, не хочу ли я вылечить свои болезни и уродства магией крови. Все, что мне нужно сделать - принять божество [FromFrom.Religion.GetHighGodName] религии [FromFrom.Religion.GetName].;x
EVTDESCred_priest.15;Одинокими мы рождаемся, одинокими умираем, но идя через эту темную долину, черпаем мы силы друг от друга.;x
EVTOPTAred_priest.15;[From.GetFirstNameWithDynasty] был[From.GetEndA] исцелен[From.GetEndA] Владыкой Света.;x
EVTDESCred_priest.16;Все мы должны сделать выбор. Мужчина или женщина, юнец или старик, лорд или крестьянин. Мы выбираем свет или выбираем тьму. [From.GetTitledFirstNameWithDynastyNoRegnal] отказа[From.GetLasLsya] от Владыки Света и не был[From.GetEndA] исцелен[From.GetEndA];x
