#CODE;ENGLISH;;;;;;;;;;;;;x
EVTDESCvolantis.300;Политики государства [Root.TopLiege.PrimaryTitle.GetName] состоят из двух фракций, Тигры - сторонники войны, и Слоны - сторонники мирной торговли. Как землевладелец [Root.TopLiege.PrimaryTitle.GetName], я имею право вступить в одну из партий.;;;;;;;;;;;;;x
EVTOPTBvolantis.300;Я присоединюсь к Тиграм.;;;;;;;;;;;;;x
EVTOPTAvolantis.300;Мой выбор - Слоны.;;;;;;;;;;;;;x
EVTOPTCvolantis.300;Наша партия будет править.;;;;;;;;;;;;;x
tiger;Тигр;;;;;;;;;;;;;x
tiger_desc;Тигры -  партия древней аристократии, которые выступают за меч.\nОни ожидают захватнических войн от своих триархов.;;;;;;;;;;;;;x
elephant;Слон.;;;;;;;;;;;;;x
elephant_desc;Слоны - партия торговцев и ростовщиков, которые выступают за торговлю.\nОни противятся войне, так как она мешает торговле.;;;;;;;;;;;;;x
title_triarch;Триарх;;;;;;;;;;;;;x
EVTDESCvolantis.1;Триархи в государстве [Root.PrimaryTitle.GetName] выбираются каждый год, и каждый год начинается предвыборная кампания, желающих получить власть. Время выборов пришло и в течении десяти дней кандидаты будут выступать на дебатах и завоевывать голоса избирателей. Только те, в чьих жилах течет валирийская кровь, могут баллотироваться на выборах.;;;;;;;;;;;;;x
EVTOPTAvolantis.1;Да начнётся безумие...;;;;;;;;;;;;;x
EVTDESCvolantis.2;Триархи в государстве [From.PrimaryTitle.GetName] выбираются каждый, год и каждый год начинается предвыборная кампания, желающих получить власть. Время выборов пришло и в течении десяти дней кандидаты будут выступать на дебатах и завоевывать голоса избирателей. Только те, в чьих жилах течет валирийская кровь, могут баллотироваться на выборах.;;;;;;;;;;;;;x
EVTOPTAvolantis.2;Я не имею права участвовать;;;;;;;;;;;;;x
EVTOPTBvolantis.2;Я буду участвовать в выборах;;;;;;;;;;;;;x
TOOLTIPEVTOPTBvolantis.2;Вы выдвигаете свою кандидатуру на должность Триарха\n\n;;;;;;;;;;;;;x
EVTOPTCvolantis.2;Я не буду выступать, но я проголосую;;;;;;;;;;;;;x
TOOLTIPvolantis.3;Долгие дни агитации начались и, несмотря на то, что вы не выступаете, вскоре вы отдадите свой голос\n\n;;;;;;;;;;;;;x
TOOLTIPvolantis.3C;Долгие дни агитации начинаются и, вы, как и все кандидаты, участвуете в дебатах и агитируете людей\n\n;;;;;;;;;;;;;x
EVTOPTDvolantis.2;Я не хочу вмешиваться в этом году;;;;;;;;;;;;;x
TOOLTIPvolantis.3b;Вы игнорируете выборы в этом году, так и не приняв участия и не интересуясь результатом;;;;;;;;;;;;;x
EVTDESCvolantis.7;Дни напролет вы выступаете по всему городу, нанятые вами менестрели и танцоры развлекают людей. Однако это и все ваши попытки завладеть голосами избирателей проваливаются, и вы не можете набрать достаточно голосов, чтобы стать Триархом.;;;;;;;;;;;;;x
EVTOPTAvolantis.7;Избиратели недоумки;;;;;;;;;;;;;x
EVTDESCvolantis.8;Дни напролет вы выступаете по всему городу, нанятые вами менестрели и танцоры развлекают людей. Кажется, избиратели к вам прислушиваются, и у вас есть шанс победить на выборах.;;;;;;;;;;;;;x
EVTOPTAvolantis.8;Как интересно;;;;;;;;;;;;;x
EVTDESCvolantis.9;Первые дни предвыборной кампании увенчались успехом. Многие избиратели впечатлены вашими речами и дарами, а также развлечения, которые вы преподносите, разбивают все сомнения. Спустя несколько дней начнется голосование. Как мы будем продолжать кампанию?;;;;;;;;;;;;;x
EVTOPTAvolantis.9;Я наводню город подарками и развлечениями!;;;;;;;;;;;;;x
EVTOPTBvolantis.9;Водить по городу большую группу слонов с Моим именем и знаменами;;;;;;;;;;;;;x
EVTOPTCvolantis.9;Организовать несколько скромных праздников;;;;;;;;;;;;;x
EVTOPTDvolantis.9;У меня недостаточно средств, использую харизму;;;;;;;;;;;;;x
EVTOPTFvolantis.9;Твари должны голосовать за меня или умереть!;;;;;;;;;;;;;x
