#CODE;ENGLISH;x;;;;
EVTDESCclash_of_kings.500;Мое имя — Робб Старк из Винтерфелла. Я отказался преклонить колено перед самозванцами Ланнистерами, ибо они должны ответить за убийство моего отца и похищение моих сестёр. Вдохновленный верными мне вассалами, коронованный как король Севера и Трезубца, я желаю выйти из под контроля Железного Трона. Теперь я должен выбрать королеву, которая будет править со мной. Я был помолвлен с Рослин Фрей, однако в момент слабости я возлег с Джейн Вестерлинг. Рискну ли я навлечь на себя гнев Фреев, чтобы сохранить ее честь, или выберу союз для войны?;x;;;;
EVTOPTAclash_of_kings.500;Я дал обещание Фреям, и я должен его сдержать;x;;;;
EVTOPTBclash_of_kings.500;Честь Джейн будет сохранена, я женюсь на ней;x;;;;
EVTOPTCclash_of_kings.500;Есть лучшие союзы, чтобы выиграть войну;x;;;;
EVTDESCclash_of_kings.501;Я, король Джоффри из Дома Баратеонов, первый этого имени, законный король Андалов, Ройнаров и Первых Людей, Правитель Семи Королевств, объявляю дядей Ренли и Станниса предателями и врагами Короны, наряду со Старками из Винтерфелла. Любой человек, осмелившийся бросить вызов нашей власти и нашему праву на Семь Королевств, будет казнён, а его голова будет на пике у ворот Королевской Гавани.;x;;;;
EVTOPTAclash_of_kings.501;ДОСТАВЬ МНЕ ИХ ГОЛОВЫ! НЕМЕДЛЕННО !!;x;;;;
EVTDESClash_of_kings.1;;x;;;;
EVTTITLEclash_of_kings.1;Переговоры в Штормовом пределе;x;;;;
EVTDESCclash_of_kings.1;Я никогда не любил моего брата, но он — моя кровь, и я не желаю биться с ним. Кроме того, что бы взять Королевскую Гавань, мне нужна сила лордов, присягнувших ему. Если он преклонит колени и поклянется мне в верности, то я не причиню ему вреда.;x;;;;
EVTOPTAclash_of_kings.1;Он прав — мое дело безнадежно.;x;;;;
EVTOPTBclash_of_kings.1;Я законный король!;x;;;;
EVTTOOLTIPclash_of_kings.3;ответит;x;;;;
EVTDESCclash_of_kings.2;Претензии Станниса опирались на слова мертвеца и ничего больше. Он, хоть раз в своей жизни, пришел в себя и решил поддержать меня, своего младшего, более смелого и гораздо более приятного обществу брата.;x;;;;
EVTOPTAclash_of_kings.2;У него, наконец, прорезался здравый смысл;x;;;;
